argument_id,arguments,rater_position,response_ratings,arguer_position,argument_index,argument_position,condition
6,I am undergoing treatment for cancer,Anti,1,Anti,648,Against,Baseline
5,I've never had a vaccine and never will,Anti,6,Anti,659,Against,Baseline
4,I would rather wait to see if there are any negative effect in people who have had the vaccine before I make up my mind,Anti,6,Anti,646,Against,Baseline
6,I get tested all the time and can afford to self-isolate,Anti,2,Anti,654,Against,Baseline
6,it's still in its trial stages.,Anti,6,Anti,606,Against,Baseline
4,"the vaccine has side effects.

",Anti,7,Anti,604,Against,Baseline
4,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,Anti,7,Anti,610,Against,Baseline
6,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,Anti,2,Anti,630,Against,Baseline
4,The risk of dying from Covid is only 0.03% unless you have an underlying health problem.,Anti,5,Anti,628,Against,Baseline
5,Its not been developed for long enough.,Anti,5,Anti,623,Against,Baseline
4,The vaccine is not safe to receive.,Anti,4,Anti,622,Against,Baseline
5,"I would like to see the figures for people who have died within 28 days of having a vaccine, not just the number of deaths after having a positive test",Anti,6,Anti,647,Against,Baseline
5,I believe one of the vaccine companies is been taken to court in the USA because of people getting cancer from one it's other products.,Anti,6,Anti,641,Against,Baseline
5,I am living in a country where the outbreak has been managed well/practically non-existent,Anti,4,Anti,653,Against,Baseline
4,I don't know what's in it,Anti,6,Anti,658,Against,Baseline
5,Im not mixing with other people,Anti,3,Anti,617,Against,Baseline
4,The rate of death from covid-19 is very low and a vaccine isn't needed,Anti,2,Anti,634,Against,Baseline
6,I might be the one who gets the blood clots.,Anti,6,Anti,642,Against,Baseline
6,It is a new technology that was considered unethical before thats why it was never passed,Anti,6,Anti,636,Against,Baseline
5,Doesn't seem trustworthy as the process to make the vaccine has been rushed in order to keep up with demands from the world to release a vaccine out soon.,Anti,6,Anti,611,Against,Baseline
4,"If enough people get a vaccine, whether I do or not is inconsequential",Anti,4,Anti,652,Against,Baseline
6,I might be the one who gets the blood clots.,Anti,7,Anti,642,Against,Baseline
5,Doesn't seem trustworthy as the process to make the vaccine has been rushed in order to keep up with demands from the world to release a vaccine out soon.,Anti,5,Anti,611,Against,Baseline
4,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,Anti,5,Anti,610,Against,Baseline
4,I don't know what's in it,Anti,7,Anti,658,Against,Baseline
6,I am undergoing treatment for cancer,Anti,4,Anti,648,Against,Baseline
5,if you were to have covid you would have already.,Anti,2,Anti,605,Against,Baseline
4,"If enough people get a vaccine, whether I do or not is inconsequential",Anti,4,Anti,652,Against,Baseline
6,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,Anti,1,Anti,630,Against,Baseline
4,The risk of dying from Covid is only 0.03% unless you have an underlying health problem.,Anti,4,Anti,628,Against,Baseline
6,I get tested all the time and can afford to self-isolate,Anti,3,Anti,654,Against,Baseline
5,I am unsure about any long-term side effects that might arise from the vaccine in years to come due to how quickly the testing phase was carried out.,Anti,7,Anti,629,Against,Baseline
6,Im unsure of the long term affects,Anti,7,Anti,618,Against,Baseline
5,Im not mixing with other people,Anti,4,Anti,617,Against,Baseline
5,The vaccine hasn't been tested for long enough to ensure its safety and effectiveness,Anti,7,Anti,635,Against,Baseline
5,I've never had a vaccine and never will,Anti,4,Anti,659,Against,Baseline
5,I believe one of the vaccine companies is been taken to court in the USA because of people getting cancer from one it's other products.,Anti,5,Anti,641,Against,Baseline
4,It hasnt been tested for long enough,Anti,7,Anti,616,Against,Baseline
5,Its not been developed for long enough.,Anti,7,Anti,623,Against,Baseline
6,It is a new technology that was considered unethical before thats why it was never passed,Anti,4,Anti,636,Against,Baseline
4,I would rather wait to see if there are any negative effect in people who have had the vaccine before I make up my mind,Anti,7,Anti,646,Against,Baseline
6,It will have serious consequences on peoples health.,Anti,3,Anti,624,Against,Baseline
6,"Theories about how the vaccine has been produced, the ingredients of it, seems suspicious and doesn't seem to be effective either.",Anti,3,Anti,612,Against,Baseline
6,it's still in its trial stages.,Anti,7,Anti,606,Against,Baseline
4,The rate of death from covid-19 is very low and a vaccine isn't needed,Anti,4,Anti,634,Against,Baseline
5,"I would like to see the figures for people who have died within 28 days of having a vaccine, not just the number of deaths after having a positive test",Anti,7,Anti,647,Against,Baseline
4,I don't think have taken enough time to test the vaccine properly.,Anti,7,Anti,640,Against,Baseline
4,"the vaccine has side effects.

",Anti,7,Anti,604,Against,Baseline
5,I am living in a country where the outbreak has been managed well/practically non-existent,Anti,3,Anti,653,Against,Baseline
4,The vaccine is not safe to receive.,Anti,4,Anti,622,Against,Baseline
6,The vaccine was man made,Anti,4,Anti,660,Against,Baseline
4,"the vaccine has side effects.

",Anti,7,Anti,604,Against,Baseline
5,if you were to have covid you would have already.,Anti,6,Anti,605,Against,Baseline
4,I don't know what's in it,Anti,6,Anti,658,Against,Baseline
5,Doesn't seem trustworthy as the process to make the vaccine has been rushed in order to keep up with demands from the world to release a vaccine out soon.,Anti,5,Anti,611,Against,Baseline
6,It will have serious consequences on peoples health.,Anti,5,Anti,624,Against,Baseline
5,Im not mixing with other people,Anti,3,Anti,617,Against,Baseline
4,I don't think have taken enough time to test the vaccine properly.,Anti,7,Anti,640,Against,Baseline
6,I might be the one who gets the blood clots.,Anti,6,Anti,642,Against,Baseline
6,it's still in its trial stages.,Anti,6,Anti,606,Against,Baseline
6,It is a new technology that was considered unethical before thats why it was never passed,Anti,6,Anti,636,Against,Baseline
5,"I would like to see the figures for people who have died within 28 days of having a vaccine, not just the number of deaths after having a positive test",Anti,6,Anti,647,Against,Baseline
4,I would rather wait to see if there are any negative effect in people who have had the vaccine before I make up my mind,Anti,6,Anti,646,Against,Baseline
5,I am unsure about any long-term side effects that might arise from the vaccine in years to come due to how quickly the testing phase was carried out.,Anti,7,Anti,629,Against,Baseline
6,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,Anti,2,Anti,630,Against,Baseline
4,The vaccine is not safe to receive.,Anti,5,Anti,622,Against,Baseline
5,I've never had a vaccine and never will,Anti,2,Anti,659,Against,Baseline
6,The vaccine was man made,Anti,6,Anti,660,Against,Baseline
4,"If enough people get a vaccine, whether I do or not is inconsequential",Anti,7,Anti,652,Against,Baseline
4,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,Anti,5,Anti,610,Against,Baseline
6,I am undergoing treatment for cancer,Anti,1,Anti,648,Against,Baseline
5,I believe one of the vaccine companies is been taken to court in the USA because of people getting cancer from one it's other products.,Anti,4,Anti,641,Against,Baseline
6,I get tested all the time and can afford to self-isolate,Anti,1,Anti,654,Against,Baseline
5,Its not been developed for long enough.,Anti,1,Anti,623,Against,Baseline
4,It hasnt been tested for long enough,Anti,7,Anti,616,Against,Baseline
6,"Theories about how the vaccine has been produced, the ingredients of it, seems suspicious and doesn't seem to be effective either.",Anti,4,Anti,612,Against,Baseline
5,The vaccine hasn't been tested for long enough to ensure its safety and effectiveness,Anti,7,Anti,635,Against,Baseline
4,The risk of dying from Covid is only 0.03% unless you have an underlying health problem.,Anti,7,Anti,628,Against,Baseline
5,I am living in a country where the outbreak has been managed well/practically non-existent,Anti,3,Anti,653,Against,Baseline
6,Im unsure of the long term affects,Anti,7,Anti,618,Against,Baseline
4,The rate of death from covid-19 is very low and a vaccine isn't needed,Anti,5,Anti,634,Against,Baseline
6,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,Anti,5,Anti,630,Against,Baseline
6,I get tested all the time and can afford to self-isolate,Anti,1,Anti,654,Against,Baseline
4,I don't think have taken enough time to test the vaccine properly.,Anti,7,Anti,640,Against,Baseline
6,"Theories about how the vaccine has been produced, the ingredients of it, seems suspicious and doesn't seem to be effective either.",Anti,7,Anti,612,Against,Baseline
4,I don't know what's in it,Anti,5,Anti,658,Against,Baseline
4,"the vaccine has side effects.

",Anti,7,Anti,604,Against,Baseline
6,I might be the one who gets the blood clots.,Anti,1,Anti,642,Against,Baseline
5,I am unsure about any long-term side effects that might arise from the vaccine in years to come due to how quickly the testing phase was carried out.,Anti,7,Anti,629,Against,Baseline
4,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,Anti,7,Anti,610,Against,Baseline
5,Its not been developed for long enough.,Anti,7,Anti,623,Against,Baseline
6,It will have serious consequences on peoples health.,Anti,7,Anti,624,Against,Baseline
5,Doesn't seem trustworthy as the process to make the vaccine has been rushed in order to keep up with demands from the world to release a vaccine out soon.,Anti,7,Anti,611,Against,Baseline
6,I am undergoing treatment for cancer,Anti,1,Anti,648,Against,Baseline
5,I believe one of the vaccine companies is been taken to court in the USA because of people getting cancer from one it's other products.,Anti,7,Anti,641,Against,Baseline
4,The risk of dying from Covid is only 0.03% unless you have an underlying health problem.,Anti,7,Anti,628,Against,Baseline
5,I've never had a vaccine and never will,Anti,7,Anti,659,Against,Baseline
4,"If enough people get a vaccine, whether I do or not is inconsequential",Anti,1,Anti,652,Against,Baseline
5,The vaccine hasn't been tested for long enough to ensure its safety and effectiveness,Anti,7,Anti,635,Against,Baseline
5,"I would like to see the figures for people who have died within 28 days of having a vaccine, not just the number of deaths after having a positive test",Anti,7,Anti,647,Against,Baseline
5,I am living in a country where the outbreak has been managed well/practically non-existent,Anti,7,Anti,653,Against,Baseline
6,Im unsure of the long term affects,Anti,7,Anti,618,Against,Baseline
4,I would rather wait to see if there are any negative effect in people who have had the vaccine before I make up my mind,Anti,7,Anti,646,Against,Baseline
5,Im not mixing with other people,Anti,1,Anti,617,Against,Baseline
5,if you were to have covid you would have already.,Anti,1,Anti,605,Against,Baseline
6,it's still in its trial stages.,Anti,7,Anti,606,Against,Baseline
4,The rate of death from covid-19 is very low and a vaccine isn't needed,Anti,7,Anti,634,Against,Baseline
6,It is a new technology that was considered unethical before thats why it was never passed,Anti,1,Anti,636,Against,Baseline
6,The vaccine was man made,Anti,7,Anti,660,Against,Baseline
4,It hasnt been tested for long enough,Anti,1,Anti,616,Against,Baseline
4,The vaccine is not safe to receive.,Anti,7,Anti,622,Against,Baseline
6,Im unsure of the long term affects,Anti,7,Anti,618,Against,Baseline
5,I believe one of the vaccine companies is been taken to court in the USA because of people getting cancer from one it's other products.,Anti,7,Anti,641,Against,Baseline
4,The vaccine is not safe to receive.,Anti,7,Anti,622,Against,Baseline
5,I've never had a vaccine and never will,Anti,7,Anti,659,Against,Baseline
5,I am living in a country where the outbreak has been managed well/practically non-existent,Anti,1,Anti,653,Against,Baseline
4,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,Anti,7,Anti,610,Against,Baseline
6,It will have serious consequences on peoples health.,Anti,7,Anti,624,Against,Baseline
6,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,Anti,5,Anti,630,Against,Baseline
6,it's still in its trial stages.,Anti,7,Anti,606,Against,Baseline
5,The vaccine hasn't been tested for long enough to ensure its safety and effectiveness,Anti,7,Anti,635,Against,Baseline
5,Its not been developed for long enough.,Anti,7,Anti,623,Against,Baseline
4,The rate of death from covid-19 is very low and a vaccine isn't needed,Anti,7,Anti,634,Against,Baseline
5,Doesn't seem trustworthy as the process to make the vaccine has been rushed in order to keep up with demands from the world to release a vaccine out soon.,Anti,7,Anti,611,Against,Baseline
6,The vaccine was man made,Anti,7,Anti,660,Against,Baseline
6,I might be the one who gets the blood clots.,Anti,7,Anti,642,Against,Baseline
4,The risk of dying from Covid is only 0.03% unless you have an underlying health problem.,Anti,7,Anti,628,Against,Baseline
6,I get tested all the time and can afford to self-isolate,Anti,4,Anti,654,Against,Baseline
6,"Theories about how the vaccine has been produced, the ingredients of it, seems suspicious and doesn't seem to be effective either.",Anti,7,Anti,612,Against,Baseline
5,"I would like to see the figures for people who have died within 28 days of having a vaccine, not just the number of deaths after having a positive test",Anti,7,Anti,647,Against,Baseline
4,"If enough people get a vaccine, whether I do or not is inconsequential",Anti,4,Anti,652,Against,Baseline
4,I don't think have taken enough time to test the vaccine properly.,Anti,7,Anti,640,Against,Baseline
6,It is a new technology that was considered unethical before thats why it was never passed,Anti,7,Anti,636,Against,Baseline
4,I would rather wait to see if there are any negative effect in people who have had the vaccine before I make up my mind,Anti,7,Anti,646,Against,Baseline
4,"the vaccine has side effects.

",Anti,7,Anti,604,Against,Baseline
5,Im not mixing with other people,Anti,1,Anti,617,Against,Baseline
5,if you were to have covid you would have already.,Anti,4,Anti,605,Against,Baseline
4,It hasnt been tested for long enough,Anti,7,Anti,616,Against,Baseline
4,I don't know what's in it,Anti,7,Anti,658,Against,Baseline
6,I am undergoing treatment for cancer,Anti,7,Anti,648,Against,Baseline
5,I am unsure about any long-term side effects that might arise from the vaccine in years to come due to how quickly the testing phase was carried out.,Anti,7,Anti,629,Against,Baseline
5,The vaccine hasn't been tested for long enough to ensure its safety and effectiveness,Anti,7,Anti,635,Against,Baseline
4,The risk of dying from Covid is only 0.03% unless you have an underlying health problem.,Anti,6,Anti,628,Against,Baseline
5,Im not mixing with other people,Anti,4,Anti,617,Against,Baseline
6,"Theories about how the vaccine has been produced, the ingredients of it, seems suspicious and doesn't seem to be effective either.",Anti,6,Anti,612,Against,Baseline
4,I would rather wait to see if there are any negative effect in people who have had the vaccine before I make up my mind,Anti,6,Anti,646,Against,Baseline
4,I don't know what's in it,Anti,7,Anti,658,Against,Baseline
5,I am unsure about any long-term side effects that might arise from the vaccine in years to come due to how quickly the testing phase was carried out.,Anti,7,Anti,629,Against,Baseline
4,I don't think have taken enough time to test the vaccine properly.,Anti,6,Anti,640,Against,Baseline
4,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,Anti,6,Anti,610,Against,Baseline
5,Doesn't seem trustworthy as the process to make the vaccine has been rushed in order to keep up with demands from the world to release a vaccine out soon.,Anti,7,Anti,611,Against,Baseline
6,I get tested all the time and can afford to self-isolate,Anti,5,Anti,654,Against,Baseline
5,I am living in a country where the outbreak has been managed well/practically non-existent,Anti,4,Anti,653,Against,Baseline
4,It hasnt been tested for long enough,Anti,7,Anti,616,Against,Baseline
6,The vaccine was man made,Anti,4,Anti,660,Against,Baseline
4,"If enough people get a vaccine, whether I do or not is inconsequential",Anti,2,Anti,652,Against,Baseline
5,if you were to have covid you would have already.,Anti,2,Anti,605,Against,Baseline
4,The vaccine is not safe to receive.,Anti,5,Anti,622,Against,Baseline
6,It is a new technology that was considered unethical before thats why it was never passed,Anti,5,Anti,636,Against,Baseline
6,I might be the one who gets the blood clots.,Anti,7,Anti,642,Against,Baseline
6,It will have serious consequences on peoples health.,Anti,7,Anti,624,Against,Baseline
6,it's still in its trial stages.,Anti,7,Anti,606,Against,Baseline
5,I've never had a vaccine and never will,Anti,6,Anti,659,Against,Baseline
6,I am undergoing treatment for cancer,Anti,7,Anti,648,Against,Baseline
6,Im unsure of the long term affects,Anti,6,Anti,618,Against,Baseline
5,"I would like to see the figures for people who have died within 28 days of having a vaccine, not just the number of deaths after having a positive test",Anti,7,Anti,647,Against,Baseline
4,"the vaccine has side effects.

",Anti,6,Anti,604,Against,Baseline
5,I believe one of the vaccine companies is been taken to court in the USA because of people getting cancer from one it's other products.,Anti,7,Anti,641,Against,Baseline
6,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,Anti,5,Anti,630,Against,Baseline
4,The rate of death from covid-19 is very low and a vaccine isn't needed,Anti,3,Anti,634,Against,Baseline
5,Its not been developed for long enough.,Anti,7,Anti,623,Against,Baseline
6,I might be the one who gets the blood clots.,Anti,5,Anti,642,Against,Baseline
5,I believe one of the vaccine companies is been taken to court in the USA because of people getting cancer from one it's other products.,Anti,3,Anti,641,Against,Baseline
4,I don't know what's in it,Anti,6,Anti,658,Against,Baseline
4,It hasnt been tested for long enough,Anti,6,Anti,616,Against,Baseline
5,Im not mixing with other people,Anti,2,Anti,617,Against,Baseline
5,"I would like to see the figures for people who have died within 28 days of having a vaccine, not just the number of deaths after having a positive test",Anti,7,Anti,647,Against,Baseline
6,it's still in its trial stages.,Anti,6,Anti,606,Against,Baseline
4,"the vaccine has side effects.

",Anti,6,Anti,604,Against,Baseline
6,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,Anti,2,Anti,630,Against,Baseline
4,The vaccine is not safe to receive.,Anti,5,Anti,622,Against,Baseline
5,I've never had a vaccine and never will,Anti,4,Anti,659,Against,Baseline
4,The rate of death from covid-19 is very low and a vaccine isn't needed,Anti,6,Anti,634,Against,Baseline
6,"Theories about how the vaccine has been produced, the ingredients of it, seems suspicious and doesn't seem to be effective either.",Anti,6,Anti,612,Against,Baseline
6,I am undergoing treatment for cancer,Anti,1,Anti,648,Against,Baseline
4,The risk of dying from Covid is only 0.03% unless you have an underlying health problem.,Anti,6,Anti,628,Against,Baseline
4,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,Anti,6,Anti,610,Against,Baseline
6,Im unsure of the long term affects,Anti,6,Anti,618,Against,Baseline
6,I get tested all the time and can afford to self-isolate,Anti,2,Anti,654,Against,Baseline
5,if you were to have covid you would have already.,Anti,6,Anti,605,Against,Baseline
6,It is a new technology that was considered unethical before thats why it was never passed,Anti,6,Anti,636,Against,Baseline
5,Doesn't seem trustworthy as the process to make the vaccine has been rushed in order to keep up with demands from the world to release a vaccine out soon.,Anti,6,Anti,611,Against,Baseline
4,"If enough people get a vaccine, whether I do or not is inconsequential",Anti,2,Anti,652,Against,Baseline
4,I would rather wait to see if there are any negative effect in people who have had the vaccine before I make up my mind,Anti,2,Anti,646,Against,Baseline
6,The vaccine was man made,Anti,6,Anti,660,Against,Baseline
5,I am unsure about any long-term side effects that might arise from the vaccine in years to come due to how quickly the testing phase was carried out.,Anti,6,Anti,629,Against,Baseline
5,Its not been developed for long enough.,Anti,6,Anti,623,Against,Baseline
5,The vaccine hasn't been tested for long enough to ensure its safety and effectiveness,Anti,6,Anti,635,Against,Baseline
5,I am living in a country where the outbreak has been managed well/practically non-existent,Anti,2,Anti,653,Against,Baseline
6,It will have serious consequences on peoples health.,Anti,2,Anti,624,Against,Baseline
4,I don't think have taken enough time to test the vaccine properly.,Anti,6,Anti,640,Against,Baseline
6,It is a new technology that was considered unethical before thats why it was never passed,Anti,5,Anti,636,Against,Baseline
6,Im unsure of the long term affects,Anti,7,Anti,618,Against,Baseline
6,The vaccine was man made,Anti,7,Anti,660,Against,Baseline
5,Its not been developed for long enough.,Anti,7,Anti,623,Against,Baseline
6,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,Anti,5,Anti,630,Against,Baseline
5,I've never had a vaccine and never will,Anti,7,Anti,659,Against,Baseline
6,It will have serious consequences on peoples health.,Anti,6,Anti,624,Against,Baseline
5,Doesn't seem trustworthy as the process to make the vaccine has been rushed in order to keep up with demands from the world to release a vaccine out soon.,Anti,7,Anti,611,Against,Baseline
6,it's still in its trial stages.,Anti,7,Anti,606,Against,Baseline
5,I am unsure about any long-term side effects that might arise from the vaccine in years to come due to how quickly the testing phase was carried out.,Anti,7,Anti,629,Against,Baseline
4,The vaccine is not safe to receive.,Anti,6,Anti,622,Against,Baseline
5,I am living in a country where the outbreak has been managed well/practically non-existent,Anti,4,Anti,653,Against,Baseline
4,The risk of dying from Covid is only 0.03% unless you have an underlying health problem.,Anti,7,Anti,628,Against,Baseline
5,I believe one of the vaccine companies is been taken to court in the USA because of people getting cancer from one it's other products.,Anti,4,Anti,641,Against,Baseline
4,I would rather wait to see if there are any negative effect in people who have had the vaccine before I make up my mind,Anti,6,Anti,646,Against,Baseline
4,"If enough people get a vaccine, whether I do or not is inconsequential",Anti,5,Anti,652,Against,Baseline
5,The vaccine hasn't been tested for long enough to ensure its safety and effectiveness,Anti,7,Anti,635,Against,Baseline
4,I don't know what's in it,Anti,6,Anti,658,Against,Baseline
4,The rate of death from covid-19 is very low and a vaccine isn't needed,Anti,7,Anti,634,Against,Baseline
6,I might be the one who gets the blood clots.,Anti,2,Anti,642,Against,Baseline
4,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,Anti,5,Anti,610,Against,Baseline
6,I get tested all the time and can afford to self-isolate,Anti,4,Anti,654,Against,Baseline
5,"I would like to see the figures for people who have died within 28 days of having a vaccine, not just the number of deaths after having a positive test",Anti,6,Anti,647,Against,Baseline
5,if you were to have covid you would have already.,Anti,4,Anti,605,Against,Baseline
4,"the vaccine has side effects.

",Anti,5,Anti,604,Against,Baseline
6,"Theories about how the vaccine has been produced, the ingredients of it, seems suspicious and doesn't seem to be effective either.",Anti,6,Anti,612,Against,Baseline
5,Im not mixing with other people,Anti,4,Anti,617,Against,Baseline
4,I don't think have taken enough time to test the vaccine properly.,Anti,7,Anti,640,Against,Baseline
6,I am undergoing treatment for cancer,Anti,6,Anti,648,Against,Baseline
4,It hasnt been tested for long enough,Anti,7,Anti,616,Against,Baseline
5,Im not mixing with other people,Anti,2,Anti,617,Against,Baseline
6,It is a new technology that was considered unethical before thats why it was never passed,Anti,5,Anti,636,Against,Baseline
5,if you were to have covid you would have already.,Anti,4,Anti,605,Against,Baseline
4,"the vaccine has side effects.

",Anti,7,Anti,604,Against,Baseline
6,"Theories about how the vaccine has been produced, the ingredients of it, seems suspicious and doesn't seem to be effective either.",Anti,5,Anti,612,Against,Baseline
4,I would rather wait to see if there are any negative effect in people who have had the vaccine before I make up my mind,Anti,4,Anti,646,Against,Baseline
4,"If enough people get a vaccine, whether I do or not is inconsequential",Anti,4,Anti,652,Against,Baseline
6,It will have serious consequences on peoples health.,Anti,4,Anti,624,Against,Baseline
5,I am unsure about any long-term side effects that might arise from the vaccine in years to come due to how quickly the testing phase was carried out.,Anti,5,Anti,629,Against,Baseline
4,It hasnt been tested for long enough,Anti,7,Anti,616,Against,Baseline
4,The rate of death from covid-19 is very low and a vaccine isn't needed,Anti,4,Anti,634,Against,Baseline
6,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,Anti,3,Anti,630,Against,Baseline
4,The risk of dying from Covid is only 0.03% unless you have an underlying health problem.,Anti,4,Anti,628,Against,Baseline
5,I am living in a country where the outbreak has been managed well/practically non-existent,Anti,4,Anti,653,Against,Baseline
5,Its not been developed for long enough.,Anti,5,Anti,623,Against,Baseline
5,I've never had a vaccine and never will,Anti,5,Anti,659,Against,Baseline
6,it's still in its trial stages.,Anti,5,Anti,606,Against,Baseline
6,I am undergoing treatment for cancer,Anti,1,Anti,648,Against,Baseline
5,I believe one of the vaccine companies is been taken to court in the USA because of people getting cancer from one it's other products.,Anti,5,Anti,641,Against,Baseline
6,I get tested all the time and can afford to self-isolate,Anti,1,Anti,654,Against,Baseline
5,Doesn't seem trustworthy as the process to make the vaccine has been rushed in order to keep up with demands from the world to release a vaccine out soon.,Anti,5,Anti,611,Against,Baseline
6,I might be the one who gets the blood clots.,Anti,5,Anti,642,Against,Baseline
4,I don't know what's in it,Anti,5,Anti,658,Against,Baseline
6,Im unsure of the long term affects,Anti,1,Anti,618,Against,Baseline
4,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,Anti,5,Anti,610,Against,Baseline
5,"I would like to see the figures for people who have died within 28 days of having a vaccine, not just the number of deaths after having a positive test",Anti,5,Anti,647,Against,Baseline
5,The vaccine hasn't been tested for long enough to ensure its safety and effectiveness,Anti,5,Anti,635,Against,Baseline
4,The vaccine is not safe to receive.,Anti,5,Anti,622,Against,Baseline
4,I don't think have taken enough time to test the vaccine properly.,Anti,5,Anti,640,Against,Baseline
6,The vaccine was man made,Anti,5,Anti,660,Against,Baseline
4,Bad experience with vaccines in the past.,Anti,1,Anti,1156,Against,Baseline
6,Don't trust BoJo to act in our best interests,Anti,7,Anti,1170,Against,Baseline
4,I am fit and healthy so do not need it,Anti,4,Anti,1198,Against,Baseline
5,I am scared of any side effects,Anti,4,Anti,1181,Against,Baseline
4,I could be Allergic to ingredients,Anti,4,Anti,1150,Against,Baseline
4,I don't trust it because it is rushed,Anti,6,Anti,1180,Against,Baseline
5,I don't trust vaccines in general.,Anti,1,Anti,1187,Against,Baseline
6,I don't want to put anything in my body which I feel is unsafe,Anti,7,Anti,1176,Against,Baseline
