"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","gender","edu","argument_ID","Arg_Position","Arguments","stanely_V","stanley_Nv","intellectual_v_1","intellectual_v_2","intellectual_v_3","intellectual_Nv_1","intellectual_Nv_2","intellectual_Nv_3","morality_v_1","morality_v_2","morality_v_3","morality_Nv_1","morality_Nv_2","morality_Nv_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers","passedITT","passed_relative_ITT"
54,1647020641119,"11/03/2022 17:44:01",6024015,2,52,"Strongly Agree","statements",1,"Rarely","Once or twice a year","Female","Doctorate (PhD)",1,"vegan","Ethical treatment of animals","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,601,301,"For","ANTI",0,1,1,0,0,1,1
56,1647020661174,"11/03/2022 17:44:21",6024015,2,54,"Strongly Agree","statements",6,"Never","Once or twice a year","Male","GCSEs",2,"vegan","I feel it is better to reduce the dependency on animals for food due to the environmental reasons","Agree",NA,"Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,632,301,"For","ANTI",0,1,1,0,0,1,1
60,1647020679194,"11/03/2022 17:44:39",6024015,2,58,"Strongly Agree","statements",9,"Rarely","Once or twice a year","Male","Vocational Training / Apprenticeship",3,"vegan","We can survive without meet","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,651,301,"For","ANTI",0,1,1,0,0,1,1
62,1647020688227,"11/03/2022 17:44:48",6024015,2,60,"Agree","statements",10,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",3,"vegan","environmentally sustainable food","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,657,301,"For","ANTI",0,1,1,0,0,1,1
63,1647020691774,"11/03/2022 17:44:51",6024015,2,61,"Agree","statements",3,"Never","Once or twice a year","Male","A levels",2,"vegan","Reduced amount of harm to animals","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,614,301,"For","ANTI",0,1,1,0,0,1,1
64,1647020695328,"11/03/2022 17:44:55",6024015,2,62,"Agree","statements",8,"Rarely","Once or twice a year","Other","Vocational Training / Apprenticeship",1,"vegan","The negative ecological impact meat production has on the Earth","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,643,301,"For","ANTI",0,1,1,0,0,1,1
3,1647020417708,"11/03/2022 17:40:17",6024038,2,1,"Strongly Agree","statements",5,"Once or twice a year","Rarely","Male","Undergraduate degree (BSc, BA)",3,"vegan"," being anti animal cruelty","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,627,302,"For","ANTI",0,1,1,0,0,1,1
4,1647020422635,"11/03/2022 17:40:22",6024038,2,2,"Strongly Agree","statements",9,"Rarely","Once or twice a year","Male","Vocational Training / Apprenticeship",3,"vegan","We can survive without meet","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,651,302,"For","ANTI",0,1,1,0,0,1,1
9,1647020459637,"11/03/2022 17:40:59",6024038,2,7,"Strongly Agree","statements",1,"Rarely","Once or twice a year","Female","Doctorate (PhD)",3,"vegan","Personal health and wellbeing ","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,603,302,"For","ANTI",0,1,1,0,0,1,1
10,1647020465020,"11/03/2022 17:41:05",6024038,2,8,"Agree","statements",3,"Never","Once or twice a year","Male","A levels",2,"vegan","Reduced amount of harm to animals","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,614,302,"For","ANTI",0,1,1,0,0,1,1
12,1647020474119,"11/03/2022 17:41:14",6024038,2,10,"Somewhat Agree","statements",3,"Never","Once or twice a year","Male","A levels",3,"vegan","Veganism is healthier diet","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,615,302,"For","ANTI",0,1,1,0,0,0,0
14,1647020483166,"11/03/2022 17:41:23",6024038,2,12,"Agree","statements",7,"Rarely","A few times a year","Female","Doctorate (PhD)",2,"vegan","Being vegan is better for your health","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,638,302,"For","ANTI",0,1,1,0,0,1,1
15,1647020494121,"11/03/2022 17:41:34",6024038,2,13,"Agree","statements",9,"Rarely","Once or twice a year","Male","Vocational Training / Apprenticeship",2,"vegan","People harm animals in order to eat","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,650,302,"For","ANTI",0,1,1,0,0,1,1
17,1647020500941,"11/03/2022 17:41:40",6024038,2,15,"Agree","statements",8,"Rarely","Once or twice a year","Other","Vocational Training / Apprenticeship",2,"vegan","Saving animals the suffering","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,644,302,"For","ANTI",0,1,1,0,0,1,1
18,1647020507927,"11/03/2022 17:41:47",6024038,2,16,"Somewhat Agree","statements",2,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA)",2,"vegan","It's healthier than eating meat and fast food. ","Agree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,608,302,"For","ANTI",0,1,1,0,0,0,0
19,1647020511660,"11/03/2022 17:41:51",6024038,2,17,"Strongly Agree","statements",4,"Never","Never","Female","A levels",2,"vegan","Helping the environment","Agree",NA,"Agree","Somewhat Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,620,302,"For","ANTI",0,1,1,0,0,1,1
20,1647020520855,"11/03/2022 17:42:00",6024038,2,18,"Strongly Agree","statements",6,"Never","Once or twice a year","Male","GCSEs",2,"vegan","I feel it is better to reduce the dependency on animals for food due to the environmental reasons","Agree",NA,"Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,632,302,"For","ANTI",0,1,1,0,0,1,1
21,1647020524105,"11/03/2022 17:42:04",6024038,2,19,"Somewhat Agree","statements",10,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",1,"vegan","healthy food with low fat ","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,655,302,"For","ANTI",0,1,1,0,0,0,0
25,1647020540126,"11/03/2022 17:42:20",6024038,2,23,"Agree","statements",7,"Rarely","A few times a year","Female","Doctorate (PhD)",3,"vegan","It is better for the environment","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,639,302,"For","ANTI",0,1,1,0,0,1,1
28,1647020552707,"11/03/2022 17:42:32",6024038,2,26,"Agree","statements",5,"Once or twice a year","Rarely","Male","Undergraduate degree (BSc, BA)",1,"vegan","protecting the environment","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,625,302,"For","ANTI",0,1,1,0,0,1,1
30,1647020563746,"11/03/2022 17:42:43",6024038,2,28,"Neither Agree nor Disagree","statements",4,"Never","Never","Female","A levels",3,"vegan","Religious reasons, may believe its unethical to harm animals","Agree",NA,"Agree","Somewhat Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,621,302,"For","ANTI",0,1,1,0,0,0,0
33,1647020575579,"11/03/2022 17:42:55",6024038,2,31,"Agree","statements",8,"Rarely","Once or twice a year","Other","Vocational Training / Apprenticeship",1,"vegan","The negative ecological impact meat production has on the Earth","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,643,302,"For","ANTI",0,1,1,0,0,1,1
36,1647020587476,"11/03/2022 17:43:07",6024038,2,34,"Agree","statements",2,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA)",3,"vegan","Saves animals from exploitation ","Agree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,609,302,"For","ANTI",0,1,1,0,0,1,1
38,1647020596527,"11/03/2022 17:43:16",6024038,2,36,"Agree","statements",8,"Rarely","Once or twice a year","Other","Vocational Training / Apprenticeship",3,"vegan","You can still eat perfectly balanced without animal products","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,645,302,"For","ANTI",0,1,1,0,0,1,1
40,1647020603550,"11/03/2022 17:43:23",6024038,2,38,"Somewhat Agree","statements",5,"Once or twice a year","Rarely","Male","Undergraduate degree (BSc, BA)",2,"vegan","having food allergies","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,626,302,"For","ANTI",0,1,1,0,0,0,0
41,1647020605795,"11/03/2022 17:43:25",6024038,2,39,"Agree","statements",3,"Never","Once or twice a year","Male","A levels",1,"vegan","Environmental protection","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,613,302,"For","ANTI",0,1,1,0,0,1,1
43,1647020617720,"11/03/2022 17:43:37",6024038,2,41,"Agree","statements",10,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",3,"vegan","environmentally sustainable food","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,657,302,"For","ANTI",0,1,1,0,0,1,1
45,1647020624524,"11/03/2022 17:43:44",6024038,2,43,"Strongly Agree","statements",1,"Rarely","Once or twice a year","Female","Doctorate (PhD)",1,"vegan","Ethical treatment of animals","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,601,302,"For","ANTI",0,1,1,0,0,1,1
48,1647020636087,"11/03/2022 17:43:56",6024038,2,46,"Agree","statements",6,"Never","Once or twice a year","Male","GCSEs",1,"vegan","I feel sorry for the animals killed/exploited for consumption","Agree",NA,"Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,631,302,"For","ANTI",0,1,1,0,0,1,1
50,1647020642484,"11/03/2022 17:44:02",6024038,2,48,"Agree","statements",9,"Rarely","Once or twice a year","Male","Vocational Training / Apprenticeship",1,"vegan","Animals deserve to live","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,649,302,"For","ANTI",0,1,1,0,0,1,1
52,1647020650637,"11/03/2022 17:44:10",6024038,2,50,"Agree","statements",10,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",2,"vegan","respect for animals
","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,656,302,"For","ANTI",0,1,1,0,0,1,1
53,1647020652740,"11/03/2022 17:44:12",6024038,2,51,"Agree","statements",1,"Rarely","Once or twice a year","Female","Doctorate (PhD)",2,"vegan","Reducing climate change/environmental impact","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,602,302,"For","ANTI",0,1,1,0,0,1,1
55,1647020659219,"11/03/2022 17:44:19",6024038,2,53,"Strongly Agree","statements",4,"Never","Never","Female","A levels",1,"vegan","Protecting animals from harm","Agree",NA,"Agree","Somewhat Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,619,302,"For","ANTI",0,1,1,0,0,1,1
56,1647020661000,"11/03/2022 17:44:21",6024038,2,54,"Strongly Agree","statements",2,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA)",1,"vegan","It's good for the enviorment ","Agree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,607,302,"For","ANTI",0,1,1,0,0,1,1
57,1647020662660,"11/03/2022 17:44:22",6024038,2,55,"Strongly Agree","statements",7,"Rarely","A few times a year","Female","Doctorate (PhD)",1,"vegan","I am against animal cruelty","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,637,302,"For","ANTI",0,1,1,0,0,1,1
59,1647020696963,"11/03/2022 17:44:56",6024038,2,57,"Agree","statements",6,"Never","Once or twice a year","Male","GCSEs",3,"vegan","I feel a vegan diet is cleaner and makes them feel better","Agree",NA,"Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,633,302,"For","ANTI",0,1,1,0,0,1,1
3,1647020982340,"11/03/2022 17:49:42",6024148,2,1,"Strongly Agree","statements",1,"Rarely","Once or twice a year","Female","Doctorate (PhD)",2,"vegan","Reducing climate change/environmental impact","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,602,303,"For","ANTI",0,1,1,0,0,1,1
5,1647020993687,"11/03/2022 17:49:53",6024148,2,3,"Strongly Agree","statements",6,"Never","Once or twice a year","Male","GCSEs",2,"vegan","I feel it is better to reduce the dependency on animals for food due to the environmental reasons","Agree",NA,"Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,632,303,"For","ANTI",0,1,1,0,0,1,1
6,1647020998561,"11/03/2022 17:49:58",6024148,2,4,"Neither Agree nor Disagree","statements",10,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",3,"vegan","environmentally sustainable food","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,657,303,"For","ANTI",0,1,1,0,0,0,0
7,1647020998610,"11/03/2022 17:49:58",6024148,2,5,"Neither Agree nor Disagree","statements",9,"Rarely","Once or twice a year","Male","Vocational Training / Apprenticeship",1,"vegan","Animals deserve to live","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",4,649,303,"For","ANTI",0,1,1,0,0,0,0
10,1647021008608,"11/03/2022 17:50:08",6024148,2,8,"Somewhat Disagree","statements",2,"Rarely","Rarely","Male","Undergraduate degree (BSc, BA)",2,"vegan","It's healthier than eating meat and fast food. ","Agree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",3,608,303,"For","ANTI",0,1,1,0,0,0,0
11,1647021008686,"11/03/2022 17:50:08",6024148,2,9,"Somewhat Disagree","statements",5,"Once or twice a year","Rarely","Male","Undergraduate degree (BSc, BA)",1,"vegan","protecting the environment","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",3,625,303,"For","ANTI",0,1,1,0,0,0,0
