"Event.Index","UTC.Timestamp","UTC.Date","Tree.Node.Key","Experiment.ID","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers","passedITT","passed_relative_ITT"
27,1658935805575,"27/07/2022 15:30:05","task-an6x",94050,6847612,3,25,"Strongly Agree","statements",6,"Most weeks","Most days",32,"Female","A levels",3,"For","To be able to go on holiday","Pro",7,33,1,"For","ANTI",0,1,1,0,0,1,1
28,1658935806772,"27/07/2022 15:30:06","task-an6x",94050,6847612,3,26,"Strongly Agree","statements",3,"Most weeks","Most weeks",49,"Female","GCSEs",3,"For","It protects everyone ","Pro",7,15,1,"For","ANTI",0,1,1,0,0,1,1
29,1658935810510,"27/07/2022 15:30:10","task-an6x",94050,6847612,3,27,"Strongly Agree","statements",2,"Most days","Most weeks",24,"Female","Undergraduate degree (BSc, BA)",3,"For","Protects others around you from catching the virus?","Pro",7,9,1,"For","ANTI",0,1,1,0,0,1,1
31,1658935819250,"27/07/2022 15:30:19","task-an6x",94050,6847612,3,29,"Strongly Agree","statements",4,"Most days","Most weeks",31,"Female","GCSEs",2,"For","It is important to receive the vaccine to protect your health and the health of others.","Pro",7,20,1,"For","ANTI",0,1,1,0,0,1,1
32,1658935823439,"27/07/2022 15:30:23","task-an6x",94050,6847612,3,30,"Strongly Agree","statements",6,"Most weeks","Most days",32,"Female","A levels",2,"For","Everyone has to have one so life can go back to normal","Pro",7,32,1,"For","ANTI",0,1,1,0,0,1,1
33,1658935825439,"27/07/2022 15:30:25","task-an6x",94050,6847612,3,31,"Strongly Agree","statements",10,"Once or twice a year","Most months",34,"Male","GCSEs",1,"For","The government said it safe ","Pro",7,55,1,"For","ANTI",0,1,1,0,0,1,1
36,1658935834211,"27/07/2022 15:30:34","task-an6x",94050,6847612,3,34,"Strongly Agree","statements",2,"Most days","Most weeks",24,"Female","Undergraduate degree (BSc, BA)",2,"For","Prevents you from catching the virus or getting severe symptoms.","Pro",7,8,1,"For","ANTI",0,1,1,0,0,1,1
37,1658935835936,"27/07/2022 15:30:35","task-an6x",94050,6847612,3,35,"Strongly Agree","statements",9,"Rarely","Most months",27,"Male","Undergraduate degree (BSc, BA)",2,"For","better for travelling abroad","Pro",7,50,1,"For","ANTI",0,1,1,0,0,1,1
38,1658935838230,"27/07/2022 15:30:38","task-an6x",94050,6847612,3,36,"Strongly Disagree","statements",7,"Most months","Most months",49,"Male","Vocational Training / Apprenticeship",2,"For","Only a few people have died from it.","Pro",1,38,1,"For","ANTI",0,1,1,0,0,0,0
39,1658935840514,"27/07/2022 15:30:40","task-an6x",94050,6847612,3,37,"Strongly Agree","statements",10,"Once or twice a year","Most months",34,"Male","GCSEs",2,"For","The news said its effective","Pro",7,56,1,"For","ANTI",0,1,1,0,0,1,1
42,1658935849178,"27/07/2022 15:30:49","task-an6x",94050,6847612,3,40,"Strongly Agree","statements",9,"Rarely","Most months",27,"Male","Undergraduate degree (BSc, BA)",1,"For","better for everyone else","Pro",7,49,1,"For","ANTI",0,1,1,0,0,1,1
43,1658935851191,"27/07/2022 15:30:51","task-an6x",94050,6847612,3,41,"Strongly Agree","statements",7,"Most months","Most months",49,"Male","Vocational Training / Apprenticeship",1,"For","It's safe the government said so.","Pro",7,37,1,"For","ANTI",0,1,1,0,0,1,1
45,1658935857911,"27/07/2022 15:30:57","task-an6x",94050,6847612,3,43,"Agree","statements",3,"Most weeks","Most weeks",49,"Female","GCSEs",2,"For","It has been thoroughly tested","Pro",6,14,1,"For","ANTI",0,1,1,0,0,1,1
47,1658935862522,"27/07/2022 15:31:02","task-an6x",94050,6847612,3,45,"Strongly Agree","statements",6,"Most weeks","Most days",32,"Female","A levels",1,"For","I want to get my freedoms back ","Pro",7,31,1,"For","ANTI",0,1,1,0,0,1,1
50,1658935872364,"27/07/2022 15:31:12","task-an6x",94050,6847612,3,48,"Strongly Agree","statements",5,"A few times a year","A few times a year",32,"Female","A levels",1,"For","The more people who get vaccinated the sooner the restrictions will be lifted.","Pro",7,25,1,"For","ANTI",0,1,1,0,0,1,1
51,1658935874608,"27/07/2022 15:31:14","task-an6x",94050,6847612,3,49,"Strongly Agree","statements",9,"Rarely","Most months",27,"Male","Undergraduate degree (BSc, BA)",3,"For","the long term benefits outweigh the temporary side-effects","Pro",7,51,1,"For","ANTI",0,1,1,0,0,1,1
53,1658935881234,"27/07/2022 15:31:21","task-an6x",94050,6847612,3,51,"Strongly Disagree","statements",8,"Most days","Most days",54,"Male","Vocational Training / Apprenticeship",2,"For","Because I am old and therefore at a higher risk of dying if I caught Covid","Pro",1,44,1,"For","ANTI",0,1,1,0,0,0,0
59,1658935899659,"27/07/2022 15:31:39","task-an6x",94050,6847612,3,57,"Strongly Agree","statements",1,"Most days","Most months",32,"Female","A levels",2,"For","there are a load of people receiving the vaccine it's safe.","Pro",7,2,1,"For","ANTI",0,1,1,0,0,1,1
60,1658935903291,"27/07/2022 15:31:43","task-an6x",94050,6847612,3,58,"Neither Agree nor Disagree","statements",8,"Most days","Most days",54,"Male","Vocational Training / Apprenticeship",3,"For","Because in the end everyone will be forced to have the vaccine if they want to go on holiday or go to certain events","Pro",4,45,1,"For","ANTI",0,1,1,0,0,0,0
3,1658935960395,"27/07/2022 15:32:40","task-an6x",94050,6847658,3,1,"Strongly Agree","statements",6,"Most weeks","Most days",32,"Female","A levels",3,"For","To be able to go on holiday","Pro",7,33,2,"For","ANTI",0,1,1,0,0,1,1
6,1658935973624,"27/07/2022 15:32:53","task-an6x",94050,6847658,3,4,"Strongly Disagree","statements",7,"Most months","Most months",49,"Male","Vocational Training / Apprenticeship",2,"For","Only a few people have died from it.","Pro",1,38,2,"For","ANTI",0,1,1,0,0,0,0
7,1658935979930,"27/07/2022 15:32:59","task-an6x",94050,6847658,3,5,"Agree","statements",2,"Most days","Most weeks",24,"Female","Undergraduate degree (BSc, BA)",1,"For","Protects you against the virus so that you have immunity against it","Pro",6,7,2,"For","ANTI",0,1,1,0,0,1,1
9,1658935987000,"27/07/2022 15:33:07","task-an6x",94050,6847658,3,7,"Strongly Agree","statements",4,"Most days","Most weeks",31,"Female","GCSEs",3,"For","We must have the vaccine in order to return to normality. ","Pro",7,21,2,"For","ANTI",0,1,1,0,0,1,1
10,1658935989064,"27/07/2022 15:33:09","task-an6x",94050,6847658,3,8,"Strongly Agree","statements",6,"Most weeks","Most days",32,"Female","A levels",1,"For","I want to get my freedoms back ","Pro",7,31,2,"For","ANTI",0,1,1,0,0,1,1
11,1658935992203,"27/07/2022 15:33:12","task-an6x",94050,6847658,3,9,"Strongly Agree","statements",4,"Most days","Most weeks",31,"Female","GCSEs",2,"For","It is important to receive the vaccine to protect your health and the health of others.","Pro",7,20,2,"For","ANTI",0,1,1,0,0,1,1
12,1658935996734,"27/07/2022 15:33:16","task-an6x",94050,6847658,3,10,"Strongly Agree","statements",9,"Rarely","Most months",27,"Male","Undergraduate degree (BSc, BA)",3,"For","the long term benefits outweigh the temporary side-effects","Pro",7,51,2,"For","ANTI",0,1,1,0,0,1,1
14,1658936008626,"27/07/2022 15:33:28","task-an6x",94050,6847658,3,12,"Strongly Agree","statements",3,"Most weeks","Most weeks",49,"Female","GCSEs",1,"For","Its the only way to stop the spread of the virus","Pro",7,13,2,"For","ANTI",0,1,1,0,0,1,1
15,1658936011135,"27/07/2022 15:33:31","task-an6x",94050,6847658,3,13,"Strongly Agree","statements",10,"Once or twice a year","Most months",34,"Male","GCSEs",2,"For","The news said its effective","Pro",7,56,2,"For","ANTI",0,1,1,0,0,1,1
20,1658936036309,"27/07/2022 15:33:56","task-an6x",94050,6847658,3,18,"Strongly Agree","statements",1,"Most days","Most months",32,"Female","A levels",1,"For","i was fine are a few days.","Pro",7,1,2,"For","ANTI",0,1,1,0,0,1,1
22,1658936044377,"27/07/2022 15:34:04","task-an6x",94050,6847658,3,20,"Neither Agree nor Disagree","statements",5,"A few times a year","A few times a year",32,"Female","A levels",3,"For","I want to be able to fly for holidays this summer.","Pro",4,27,2,"For","ANTI",0,1,1,0,0,0,0
23,1658936047132,"27/07/2022 15:34:07","task-an6x",94050,6847658,3,21,"Strongly Agree","statements",1,"Most days","Most months",32,"Female","A levels",3,"For","it will help you protect yourself. ","Pro",7,3,2,"For","ANTI",0,1,1,0,0,1,1
24,1658936048848,"27/07/2022 15:34:08","task-an6x",94050,6847658,3,22,"Strongly Agree","statements",9,"Rarely","Most months",27,"Male","Undergraduate degree (BSc, BA)",2,"For","better for travelling abroad","Pro",7,50,2,"For","ANTI",0,1,1,0,0,1,1
26,1658936061664,"27/07/2022 15:34:21","task-an6x",94050,6847658,3,24,"Agree","statements",4,"Most days","Most weeks",31,"Female","GCSEs",1,"For","The vaccine is perfectly safe and better versions have already been produced.","Pro",6,19,2,"For","ANTI",0,1,1,0,0,1,1
30,1658936088273,"27/07/2022 15:34:48","task-an6x",94050,6847658,3,28,"Strongly Agree","statements",9,"Rarely","Most months",27,"Male","Undergraduate degree (BSc, BA)",1,"For","better for everyone else","Pro",7,49,2,"For","ANTI",0,1,1,0,0,1,1
34,1658936107963,"27/07/2022 15:35:07","task-an6x",94050,6847658,3,32,"Strongly Agree","statements",3,"Most weeks","Most weeks",49,"Female","GCSEs",3,"For","It protects everyone ","Pro",7,15,2,"For","ANTI",0,1,1,0,0,1,1
38,1658936130217,"27/07/2022 15:35:30","task-an6x",94050,6847658,3,36,"Strongly Agree","statements",10,"Once or twice a year","Most months",34,"Male","GCSEs",3,"For","Im doing my bit to help ","Pro",7,57,2,"For","ANTI",0,1,1,0,0,1,1
39,1658936134291,"27/07/2022 15:35:34","task-an6x",94050,6847658,3,37,"Disagree","statements",7,"Most months","Most months",49,"Male","Vocational Training / Apprenticeship",3,"For","It will stop me from getting covid.","Pro",2,39,2,"For","ANTI",0,1,1,0,0,0,0
41,1658936140756,"27/07/2022 15:35:40","task-an6x",94050,6847658,3,39,"Agree","statements",5,"A few times a year","A few times a year",32,"Female","A levels",2,"For","Everyone else is getting vaccinated.","Pro",6,26,2,"For","ANTI",0,1,1,0,0,1,1
42,1658936146790,"27/07/2022 15:35:46","task-an6x",94050,6847658,3,40,"Agree","statements",8,"Most days","Most days",54,"Male","Vocational Training / Apprenticeship",3,"For","Because in the end everyone will be forced to have the vaccine if they want to go on holiday or go to certain events","Pro",6,45,2,"For","ANTI",0,1,1,0,0,1,1
43,1658936152446,"27/07/2022 15:35:52","task-an6x",94050,6847658,3,41,"Disagree","statements",2,"Most days","Most weeks",24,"Female","Undergraduate degree (BSc, BA)",2,"For","Prevents you from catching the virus or getting severe symptoms.","Pro",2,8,2,"For","ANTI",0,1,1,0,0,0,0
44,1658936159146,"27/07/2022 15:35:59","task-an6x",94050,6847658,3,42,"Somewhat Agree","statements",8,"Most days","Most days",54,"Male","Vocational Training / Apprenticeship",2,"For","Because I am old and therefore at a higher risk of dying if I caught Covid","Pro",5,44,2,"For","ANTI",0,1,1,0,0,0,0
45,1658936165374,"27/07/2022 15:36:05","task-an6x",94050,6847658,3,43,"Somewhat Agree","statements",2,"Most days","Most weeks",24,"Female","Undergraduate degree (BSc, BA)",3,"For","Protects others around you from catching the virus?","Pro",5,9,2,"For","ANTI",0,1,1,0,0,0,0
46,1658936169170,"27/07/2022 15:36:09","task-an6x",94050,6847658,3,44,"Strongly Agree","statements",8,"Most days","Most days",54,"Male","Vocational Training / Apprenticeship",1,"For","To protect me from becoming seriously ill if I caught Covid","Pro",7,43,2,"For","ANTI",0,1,1,0,0,1,1
47,1658936172109,"27/07/2022 15:36:12","task-an6x",94050,6847658,3,45,"Agree","statements",10,"Once or twice a year","Most months",34,"Male","GCSEs",1,"For","The government said it safe ","Pro",6,55,2,"For","ANTI",0,1,1,0,0,1,1
48,1658936178800,"27/07/2022 15:36:18","task-an6x",94050,6847658,3,46,"Somewhat Agree","statements",5,"A few times a year","A few times a year",32,"Female","A levels",1,"For","The more people who get vaccinated the sooner the restrictions will be lifted.","Pro",5,25,2,"For","ANTI",0,1,1,0,0,0,0
49,1658936182264,"27/07/2022 15:36:22","task-an6x",94050,6847658,3,47,"Agree","statements",7,"Most months","Most months",49,"Male","Vocational Training / Apprenticeship",1,"For","It's safe the government said so.","Pro",6,37,2,"For","ANTI",0,1,1,0,0,1,1
56,1658936236846,"27/07/2022 15:37:16","task-an6x",94050,6847658,3,54,"Agree","statements",3,"Most weeks","Most weeks",49,"Female","GCSEs",2,"For","It has been thoroughly tested","Pro",6,14,2,"For","ANTI",0,1,1,0,0,1,1
58,1658936248828,"27/07/2022 15:37:28","task-an6x",94050,6847658,3,56,"Strongly Agree","statements",1,"Most days","Most months",32,"Female","A levels",2,"For","there are a load of people receiving the vaccine it's safe.","Pro",7,2,2,"For","ANTI",0,1,1,0,0,1,1
61,1658936265169,"27/07/2022 15:37:45","task-an6x",94050,6847658,3,59,"Strongly Agree","statements",6,"Most weeks","Most days",32,"Female","A levels",2,"For","Everyone has to have one so life can go back to normal","Pro",7,32,2,"For","ANTI",0,1,1,0,0,1,1
3,1658936075165,"27/07/2022 15:34:35","task-an6x",94050,6847674,3,1,"Somewhat Agree","statements",10,"Once or twice a year","Most months",34,"Male","GCSEs",2,"For","The news said its effective","Pro",5,56,3,"For","ANTI",0,1,1,0,0,0,0
6,1658936092446,"27/07/2022 15:34:52","task-an6x",94050,6847674,3,4,"Strongly Agree","statements",2,"Most days","Most weeks",24,"Female","Undergraduate degree (BSc, BA)",2,"For","Prevents you from catching the virus or getting severe symptoms.","Pro",7,8,3,"For","ANTI",0,1,1,0,0,1,1
7,1658936094055,"27/07/2022 15:34:54","task-an6x",94050,6847674,3,5,"Strongly Agree","statements",3,"Most weeks","Most weeks",49,"Female","GCSEs",3,"For","It protects everyone ","Pro",7,15,3,"For","ANTI",0,1,1,0,0,1,1
10,1658936111153,"27/07/2022 15:35:11","task-an6x",94050,6847674,3,8,"Neither Agree nor Disagree","statements",5,"A few times a year","A few times a year",32,"Female","A levels",3,"For","I want to be able to fly for holidays this summer.","Pro",4,27,3,"For","ANTI",0,1,1,0,0,0,0
12,1658936118784,"27/07/2022 15:35:18","task-an6x",94050,6847674,3,10,"Strongly Agree","statements",9,"Rarely","Most months",27,"Male","Undergraduate degree (BSc, BA)",3,"For","the long term benefits outweigh the temporary side-effects","Pro",7,51,3,"For","ANTI",0,1,1,0,0,1,1
13,1658936124254,"27/07/2022 15:35:24","task-an6x",94050,6847674,3,11,"Somewhat Agree","statements",6,"Most weeks","Most days",32,"Female","A levels",2,"For","Everyone has to have one so life can go back to normal","Pro",5,32,3,"For","ANTI",0,1,1,0,0,0,0
16,1658936143604,"27/07/2022 15:35:43","task-an6x",94050,6847674,3,14,"Agree","statements",5,"A few times a year","A few times a year",32,"Female","A levels",1,"For","The more people who get vaccinated the sooner the restrictions will be lifted.","Pro",6,25,3,"For","ANTI",0,1,1,0,0,1,1
17,1658936150140,"27/07/2022 15:35:50","task-an6x",94050,6847674,3,15,"Somewhat Disagree","statements",7,"Most months","Most months",49,"Male","Vocational Training / Apprenticeship",2,"For","Only a few people have died from it.","Pro",3,38,3,"For","ANTI",0,1,1,0,0,0,0
19,1658936156864,"27/07/2022 15:35:56","task-an6x",94050,6847674,3,17,"Neither Agree nor Disagree","statements",6,"Most weeks","Most days",32,"Female","A levels",3,"For","To be able to go on holiday","Pro",4,33,3,"For","ANTI",0,1,1,0,0,0,0
20,1658936159133,"27/07/2022 15:35:59","task-an6x",94050,6847674,3,18,"Neither Agree nor Disagree","statements",5,"A few times a year","A few times a year",32,"Female","A levels",2,"For","Everyone else is getting vaccinated.","Pro",4,26,3,"For","ANTI",0,1,1,0,0,0,0
22,1658936164556,"27/07/2022 15:36:04","task-an6x",94050,6847674,3,20,"Agree","statements",1,"Most days","Most months",32,"Female","A levels",3,"For","it will help you protect yourself. ","Pro",6,3,3,"For","ANTI",0,1,1,0,0,1,1
24,1658936172671,"27/07/2022 15:36:12","task-an6x",94050,6847674,3,22,"Strongly Agree","statements",8,"Most days","Most days",54,"Male","Vocational Training / Apprenticeship",1,"For","To protect me from becoming seriously ill if I caught Covid","Pro",7,43,3,"For","ANTI",0,1,1,0,0,1,1
25,1658936174443,"27/07/2022 15:36:14","task-an6x",94050,6847674,3,23,"Neither Agree nor Disagree","statements",10,"Once or twice a year","Most months",34,"Male","GCSEs",1,"For","The government said it safe ","Pro",4,55,3,"For","ANTI",0,1,1,0,0,0,0
26,1658936177891,"27/07/2022 15:36:17","task-an6x",94050,6847674,3,24,"Somewhat Agree","statements",6,"Most weeks","Most days",32,"Female","A levels",1,"For","I want to get my freedoms back ","Pro",5,31,3,"For","ANTI",0,1,1,0,0,0,0
28,1658936186746,"27/07/2022 15:36:26","task-an6x",94050,6847674,3,26,"Agree","statements",2,"Most days","Most weeks",24,"Female","Undergraduate degree (BSc, BA)",3,"For","Protects others around you from catching the virus?","Pro",6,9,3,"For","ANTI",0,1,1,0,0,1,1
30,1658936194294,"27/07/2022 15:36:34","task-an6x",94050,6847674,3,28,"Neither Agree nor Disagree","statements",7,"Most months","Most months",49,"Male","Vocational Training / Apprenticeship",1,"For","It's safe the government said so.","Pro",4,37,3,"For","ANTI",0,1,1,0,0,0,0
31,1658936197303,"27/07/2022 15:36:37","task-an6x",94050,6847674,3,29,"Neither Agree nor Disagree","statements",9,"Rarely","Most months",27,"Male","Undergraduate degree (BSc, BA)",2,"For","better for travelling abroad","Pro",4,50,3,"For","ANTI",0,1,1,0,0,0,0
32,1658936200114,"27/07/2022 15:36:40","task-an6x",94050,6847674,3,30,"Agree","statements",4,"Most days","Most weeks",31,"Female","GCSEs",2,"For","It is important to receive the vaccine to protect your health and the health of others.","Pro",6,20,3,"For","ANTI",0,1,1,0,0,1,1
33,1658936203685,"27/07/2022 15:36:43","task-an6x",94050,6847674,3,31,"Somewhat Agree","statements",4,"Most days","Most weeks",31,"Female","GCSEs",1,"For","The vaccine is perfectly safe and better versions have already been produced.","Pro",5,19,3,"For","ANTI",0,1,1,0,0,0,0
36,1658936212976,"27/07/2022 15:36:52","task-an6x",94050,6847674,3,34,"Somewhat Agree","statements",8,"Most days","Most days",54,"Male","Vocational Training / Apprenticeship",2,"For","Because I am old and therefore at a higher risk of dying if I caught Covid","Pro",5,44,3,"For","ANTI",0,1,1,0,0,0,0
38,1658936223489,"27/07/2022 15:37:03","task-an6x",94050,6847674,3,36,"Somewhat Disagree","statements",2,"Most days","Most weeks",24,"Female","Undergraduate degree (BSc, BA)",1,"For","Protects you against the virus so that you have immunity against it","Pro",3,7,3,"For","ANTI",0,1,1,0,0,0,0
43,1658936248478,"27/07/2022 15:37:28","task-an6x",94050,6847674,3,41,"Strongly Disagree","statements",1,"Most days","Most months",32,"Female","A levels",1,"For","i was fine are a few days.","Pro",1,1,3,"For","ANTI",0,1,1,0,0,0,0
44,1658936252681,"27/07/2022 15:37:32","task-an6x",94050,6847674,3,42,"Neither Agree nor Disagree","statements",3,"Most weeks","Most weeks",49,"Female","GCSEs",1,"For","Its the only way to stop the spread of the virus","Pro",4,13,3,"For","ANTI",0,1,1,0,0,0,0
48,1658936267808,"27/07/2022 15:37:47","task-an6x",94050,6847674,3,46,"Agree","statements",9,"Rarely","Most months",27,"Male","Undergraduate degree (BSc, BA)",1,"For","better for everyone else","Pro",6,49,3,"For","ANTI",0,1,1,0,0,1,1
56,1658936304286,"27/07/2022 15:38:24","task-an6x",94050,6847674,3,54,"Agree","statements",3,"Most weeks","Most weeks",49,"Female","GCSEs",2,"For","It has been thoroughly tested","Pro",6,14,3,"For","ANTI",0,1,1,0,0,1,1
58,1658936308881,"27/07/2022 15:38:28","task-an6x",94050,6847674,3,56,"Agree","statements",10,"Once or twice a year","Most months",34,"Male","GCSEs",3,"For","Im doing my bit to help ","Pro",6,57,3,"For","ANTI",0,1,1,0,0,1,1
59,1658936311396,"27/07/2022 15:38:31","task-an6x",94050,6847674,3,57,"Disagree","statements",7,"Most months","Most months",49,"Male","Vocational Training / Apprenticeship",3,"For","It will stop me from getting covid.","Pro",2,39,3,"For","ANTI",0,1,1,0,0,0,0
60,1658936318917,"27/07/2022 15:38:38","task-an6x",94050,6847674,3,58,"Neither Agree nor Disagree","statements",8,"Most days","Most days",54,"Male","Vocational Training / Apprenticeship",3,"For","Because in the end everyone will be forced to have the vaccine if they want to go on holiday or go to certain events","Pro",4,45,3,"For","ANTI",0,1,1,0,0,0,0
61,1658936322765,"27/07/2022 15:38:42","task-an6x",94050,6847674,3,59,"Somewhat Agree","statements",4,"Most days","Most weeks",31,"Female","GCSEs",3,"For","We must have the vaccine in order to return to normality. ","Pro",5,21,3,"For","ANTI",0,1,1,0,0,0,0
63,1658936329491,"27/07/2022 15:38:49","task-an6x",94050,6847674,3,61,"Agree","statements",1,"Most days","Most months",32,"Female","A levels",2,"For","there are a load of people receiving the vaccine it's safe.","Pro",6,2,3,"For","ANTI",0,1,1,0,0,1,1
5,1658936153126,"27/07/2022 15:35:53","task-an6x",94050,6847685,3,3,"Strongly Agree","statements",3,"Most weeks","Most weeks",49,"Female","GCSEs",2,"For","It has been thoroughly tested","Pro",7,14,4,"For","ANTI",0,1,1,0,0,1,1
7,1658936160782,"27/07/2022 15:36:00","task-an6x",94050,6847685,3,5,"Agree","statements",1,"Most days","Most months",32,"Female","A levels",2,"For","there are a load of people receiving the vaccine it's safe.","Pro",6,2,4,"For","ANTI",0,1,1,0,0,1,1
9,1658936168037,"27/07/2022 15:36:08","task-an6x",94050,6847685,3,7,"Strongly Agree","statements",2,"Most days","Most weeks",24,"Female","Undergraduate degree (BSc, BA)",3,"For","Protects others around you from catching the virus?","Pro",7,9,4,"For","ANTI",0,1,1,0,0,1,1
13,1658936184173,"27/07/2022 15:36:24","task-an6x",94050,6847685,3,11,"Strongly Agree","statements",4,"Most days","Most weeks",31,"Female","GCSEs",2,"For","It is important to receive the vaccine to protect your health and the health of others.","Pro",7,20,4,"For","ANTI",0,1,1,0,0,1,1
15,1658936197151,"27/07/2022 15:36:37","task-an6x",94050,6847685,3,13,"Somewhat Agree","statements",6,"Most weeks","Most days",32,"Female","A levels",3,"For","To be able to go on holiday","Pro",5,33,4,"For","ANTI",0,1,1,0,0,0,0
19,1658936212890,"27/07/2022 15:36:52","task-an6x",94050,6847685,3,17,"Somewhat Agree","statements",7,"Most months","Most months",49,"Male","Vocational Training / Apprenticeship",1,"For","It's safe the government said so.","Pro",5,37,4,"For","ANTI",0,1,1,0,0,0,0
20,1658936215323,"27/07/2022 15:36:55","task-an6x",94050,6847685,3,18,"Agree","statements",7,"Most months","Most months",49,"Male","Vocational Training / Apprenticeship",3,"For","It will stop me from getting covid.","Pro",6,39,4,"For","ANTI",0,1,1,0,0,1,1
21,1658936218469,"27/07/2022 15:36:58","task-an6x",94050,6847685,3,19,"Somewhat Agree","statements",10,"Once or twice a year","Most months",34,"Male","GCSEs",2,"For","The news said its effective","Pro",5,56,4,"For","ANTI",0,1,1,0,0,0,0
22,1658936221502,"27/07/2022 15:37:01","task-an6x",94050,6847685,3,20,"Agree","statements",5,"A few times a year","A few times a year",32,"Female","A levels",1,"For","The more people who get vaccinated the sooner the restrictions will be lifted.","Pro",6,25,4,"For","ANTI",0,1,1,0,0,1,1
23,1658936223805,"27/07/2022 15:37:03","task-an6x",94050,6847685,3,21,"Strongly Agree","statements",3,"Most weeks","Most weeks",49,"Female","GCSEs",1,"For","Its the only way to stop the spread of the virus","Pro",7,13,4,"For","ANTI",0,1,1,0,0,1,1
24,1658936226162,"27/07/2022 15:37:06","task-an6x",94050,6847685,3,22,"Strongly Agree","statements",6,"Most weeks","Most days",32,"Female","A levels",2,"For","Everyone has to have one so life can go back to normal","Pro",7,32,4,"For","ANTI",0,1,1,0,0,1,1
29,1658936245539,"27/07/2022 15:37:25","task-an6x",94050,6847685,3,27,"Agree","statements",7,"Most months","Most months",49,"Male","Vocational Training / Apprenticeship",2,"For","Only a few people have died from it.","Pro",6,38,4,"For","ANTI",0,1,1,0,0,1,1
