"Event.Index","UTC.Timestamp","UTC.Date","Tree.Node.Key","Experiment.ID","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers"
30,1659975316343,"08/08/2022 16:15:16","task-b5vt",94826,6895694,2,28,"Agree","statements",9,"Rarely","Most days",38,"Male","GCSEs,Vocational Training / Apprenticeship",4,"For","It's essential to be vaccinated to regain normality.","Pro",6,652,301,"For","PRO",0,0,0,1,0
32,1659975327228,"08/08/2022 16:15:27","task-b5vt",94826,6895694,2,30,"Agree","statements",6,"Rarely","Most days",34,"Male","GCSEs",5,"For","A member of my family can catch anything really easily , so I want to do this to help keep them safe ","Pro",6,635,301,"For","PRO",0,0,0,1,0
37,1659975373465,"08/08/2022 16:16:13","task-b5vt",94826,6895694,2,35,"Agree","statements",6,"Rarely","Most days",34,"Male","GCSEs",4,"For"," I am scared and if this vaccine will help then I'll do it ","Pro",6,634,301,"For","PRO",0,0,0,1,0
38,1659975376155,"08/08/2022 16:16:16","task-b5vt",94826,6895694,2,36,"Agree","statements",4,"Most months","Most months",20,"Female","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",6,"For","Doctors are trying to help ","Pro",6,624,301,"For","PRO",0,0,0,1,0
43,1659975407949,"08/08/2022 16:16:47","task-b5vt",94826,6895694,2,41,"Somewhat Agree","statements",8,"Most months","Most months",20,"Male","A levels",5,"For","To protect others by giving herd immunity.","Pro",5,647,301,"For","PRO",0,0,0,1,0
45,1659975422387,"08/08/2022 16:17:02","task-b5vt",94826,6895694,2,43,"Agree","statements",4,"Most months","Most months",20,"Female","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",5,"For","Many people have got it and have survived ","Pro",6,623,301,"For","PRO",0,0,0,1,0
46,1659975432449,"08/08/2022 16:17:12","task-b5vt",94826,6895694,2,44,"Agree","statements",1,"Rarely","A few times a year",26,"Female","Undergraduate degree (BSc, BA)",6,"For","I want to reduce the risk of myself catching the virus at work","Pro",6,606,301,"For","PRO",0,0,0,1,0
49,1659975451024,"08/08/2022 16:17:31","task-b5vt",94826,6895694,2,47,"Agree","statements",2,"Rarely","Most weeks",26,"Female","Undergraduate degree (BSc, BA)",6,"For","Vaccines are important, they help us all live safely and healthily","Pro",6,612,301,"For","PRO",0,0,0,1,0
50,1659975452756,"08/08/2022 16:17:32","task-b5vt",94826,6895694,2,48,"Agree","statements",3,"Rarely","A few times a year",55,"Female","A levels",5,"For","I want to help society","Pro",6,617,301,"For","PRO",0,0,0,1,0
53,1659975468031,"08/08/2022 16:17:48","task-b5vt",94826,6895694,2,51,"Agree","statements",7,"Once or twice a year","A few times a year",20,"Female","GCSEs,A levels",5,"For","It will help to protect the most vulnerable groups in our society.","Pro",6,641,301,"For","PRO",0,0,0,1,0
54,1659975472335,"08/08/2022 16:17:52","task-b5vt",94826,6895694,2,52,"Somewhat Agree","statements",9,"Rarely","Most days",38,"Male","GCSEs,Vocational Training / Apprenticeship",6,"For","Being vaccinated is reassuring ","Pro",5,654,301,"For","PRO",0,0,0,1,0
55,1659975476717,"08/08/2022 16:17:56","task-b5vt",94826,6895694,2,53,"Agree","statements",3,"Rarely","A few times a year",55,"Female","A levels",6,"For","I want to help in defeating this virus","Pro",6,618,301,"For","PRO",0,0,0,1,0
58,1659975491313,"08/08/2022 16:18:11","task-b5vt",94826,6895694,2,56,"Agree","statements",4,"Most months","Most months",20,"Female","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",4,"For","It's been tried and tested and has been approved by many doctors around the world","Pro",6,622,301,"For","PRO",0,0,0,1,0
60,1659975505662,"08/08/2022 16:18:25","task-b5vt",94826,6895694,2,58,"Agree","statements",3,"Rarely","A few times a year",55,"Female","A levels",4,"For","I want to have it for my own and my familyâs protection ","Pro",6,616,301,"For","PRO",0,0,0,1,0
61,1659975508663,"08/08/2022 16:18:28","task-b5vt",94826,6895694,2,59,"Agree","statements",1,"Rarely","A few times a year",26,"Female","Undergraduate degree (BSc, BA)",5,"For","I want to protect my family and be able to see them again","Pro",6,605,301,"For","PRO",0,0,0,1,0
63,1659975518107,"08/08/2022 16:18:38","task-b5vt",94826,6895694,2,61,"Agree","statements",2,"Rarely","Most weeks",26,"Female","Undergraduate degree (BSc, BA)",4,"For","It's important to protect the people you love who are a higher risk than you","Pro",6,610,301,"For","PRO",0,0,0,1,0
64,1659975521808,"08/08/2022 16:18:41","task-b5vt",94826,6895694,2,62,"Agree","statements",10,"Most months","Most weeks",35,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",5,"For","Reduced risk of passing on COVID.","Pro",6,659,301,"For","PRO",0,0,0,1,0
3,1659975244441,"08/08/2022 16:14:04","task-b5vt",94826,6895701,2,1,"Strongly Agree","statements",3,"Rarely","A few times a year",55,"Female","A levels",4,"For","I want to have it for my own and my familyâs protection ","Pro",7,616,302,"For","PRO",0,0,0,1,0
5,1659975255252,"08/08/2022 16:14:15","task-b5vt",94826,6895701,2,3,"Strongly Agree","statements",6,"Rarely","Most days",34,"Male","GCSEs",5,"For","A member of my family can catch anything really easily , so I want to do this to help keep them safe ","Pro",7,635,302,"For","PRO",0,0,0,1,0
7,1659975260525,"08/08/2022 16:14:20","task-b5vt",94826,6895701,2,5,"Somewhat Agree","statements",3,"Rarely","A few times a year",55,"Female","A levels",5,"For","I want to help society","Pro",5,617,302,"For","PRO",0,0,0,1,0
8,1659975269439,"08/08/2022 16:14:29","task-b5vt",94826,6895701,2,6,"Neither Agree nor Disagree","statements",8,"Most months","Most months",20,"Male","A levels",6,"For","To help end the negative social impact of the virus such as lockdowns and online education","Pro",4,648,302,"For","PRO",0,0,0,1,0
10,1659975276274,"08/08/2022 16:14:36","task-b5vt",94826,6895701,2,8,"Somewhat Agree","statements",7,"Once or twice a year","A few times a year",20,"Female","GCSEs,A levels",4,"For","It is the only way we can effectively eliminate the virus from the world.","Pro",5,640,302,"For","PRO",0,0,0,1,0
11,1659975280233,"08/08/2022 16:14:40","task-b5vt",94826,6895701,2,9,"Agree","statements",6,"Rarely","Most days",34,"Male","GCSEs",6,"For","Alot of people have died from getting Covid and I want to keep my self safe and I trust it ","Pro",6,636,302,"For","PRO",0,0,0,1,0
12,1659975284191,"08/08/2022 16:14:44","task-b5vt",94826,6895701,2,10,"Strongly Agree","statements",5,"Rarely","A few times a year",31,"Female","Undergraduate degree (BSc, BA)",6,"For","More vaccinations will hopefully mean less admissions and deaths and less pressure on the nhs","Pro",7,630,302,"For","PRO",0,0,0,1,0
14,1659975291807,"08/08/2022 16:14:51","task-b5vt",94826,6895701,2,12,"Neither Agree nor Disagree","statements",10,"Most months","Most weeks",35,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",6,"For","Less restrictions on behaviour due to immunity.","Pro",4,660,302,"For","PRO",0,0,0,1,0
18,1659975301413,"08/08/2022 16:15:01","task-b5vt",94826,6895701,2,16,"Strongly Agree","statements",4,"Most months","Most months",20,"Female","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",4,"For","It's been tried and tested and has been approved by many doctors around the world","Pro",7,622,302,"For","PRO",0,0,0,1,0
19,1659975303716,"08/08/2022 16:15:03","task-b5vt",94826,6895701,2,17,"Strongly Agree","statements",9,"Rarely","Most days",38,"Male","GCSEs,Vocational Training / Apprenticeship",5,"For","The vaccines are safe enough to use","Pro",7,653,302,"For","PRO",0,0,0,1,0
23,1659975321715,"08/08/2022 16:15:21","task-b5vt",94826,6895701,2,21,"Strongly Agree","statements",4,"Most months","Most months",20,"Female","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",6,"For","Doctors are trying to help ","Pro",7,624,302,"For","PRO",0,0,0,1,0
25,1659975329737,"08/08/2022 16:15:29","task-b5vt",94826,6895701,2,23,"Agree","statements",5,"Rarely","A few times a year",31,"Female","Undergraduate degree (BSc, BA)",4,"For","They wish for life to return to normal and the best way to achieve this is maximum uptake ","Pro",6,628,302,"For","PRO",0,0,0,1,0
26,1659975333686,"08/08/2022 16:15:33","task-b5vt",94826,6895701,2,24,"Agree","statements",10,"Most months","Most weeks",35,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",5,"For","Reduced risk of passing on COVID.","Pro",6,659,302,"For","PRO",0,0,0,1,0
29,1659975344348,"08/08/2022 16:15:44","task-b5vt",94826,6895701,2,27,"Agree","statements",6,"Rarely","Most days",34,"Male","GCSEs",4,"For"," I am scared and if this vaccine will help then I'll do it ","Pro",6,634,302,"For","PRO",0,0,0,1,0
30,1659975346212,"08/08/2022 16:15:46","task-b5vt",94826,6895701,2,28,"Strongly Agree","statements",9,"Rarely","Most days",38,"Male","GCSEs,Vocational Training / Apprenticeship",6,"For","Being vaccinated is reassuring ","Pro",7,654,302,"For","PRO",0,0,0,1,0
33,1659975356881,"08/08/2022 16:15:56","task-b5vt",94826,6895701,2,31,"Strongly Agree","statements",3,"Rarely","A few times a year",55,"Female","A levels",6,"For","I want to help in defeating this virus","Pro",7,618,302,"For","PRO",0,0,0,1,0
34,1659975358888,"08/08/2022 16:15:58","task-b5vt",94826,6895701,2,32,"Strongly Agree","statements",1,"Rarely","A few times a year",26,"Female","Undergraduate degree (BSc, BA)",5,"For","I want to protect my family and be able to see them again","Pro",7,605,302,"For","PRO",0,0,0,1,0
37,1659975370617,"08/08/2022 16:16:10","task-b5vt",94826,6895701,2,35,"Strongly Agree","statements",5,"Rarely","A few times a year",31,"Female","Undergraduate degree (BSc, BA)",5,"For","I am aware of the risks and complications of contracting xovid 19 and wish to protect myself and others","Pro",7,629,302,"For","PRO",0,0,0,1,0
38,1659975372557,"08/08/2022 16:16:12","task-b5vt",94826,6895701,2,36,"Strongly Agree","statements",1,"Rarely","A few times a year",26,"Female","Undergraduate degree (BSc, BA)",4,"For","It's the right thing to do to protect everyone else","Pro",7,604,302,"For","PRO",0,0,0,1,0
44,1659975390096,"08/08/2022 16:16:30","task-b5vt",94826,6895701,2,42,"Strongly Agree","statements",2,"Rarely","Most weeks",26,"Female","Undergraduate degree (BSc, BA)",4,"For","It's important to protect the people you love who are a higher risk than you","Pro",7,610,302,"For","PRO",0,0,0,1,0
45,1659975391927,"08/08/2022 16:16:31","task-b5vt",94826,6895701,2,43,"Agree","statements",10,"Most months","Most weeks",35,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",4,"For","Reduced risk of getting COVID.","Pro",6,658,302,"For","PRO",0,0,0,1,0
47,1659975398337,"08/08/2022 16:16:38","task-b5vt",94826,6895701,2,45,"Agree","statements",4,"Most months","Most months",20,"Female","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",5,"For","Many people have got it and have survived ","Pro",6,623,302,"For","PRO",0,0,0,1,0
48,1659975403281,"08/08/2022 16:16:43","task-b5vt",94826,6895701,2,46,"Agree","statements",9,"Rarely","Most days",38,"Male","GCSEs,Vocational Training / Apprenticeship",4,"For","It's essential to be vaccinated to regain normality.","Pro",6,652,302,"For","PRO",0,0,0,1,0
49,1659975405540,"08/08/2022 16:16:45","task-b5vt",94826,6895701,2,47,"Agree","statements",8,"Most months","Most months",20,"Male","A levels",4,"For","To gain immunity against COVID 19.","Pro",6,646,302,"For","PRO",0,0,0,1,0
56,1659975425574,"08/08/2022 16:17:05","task-b5vt",94826,6895701,2,54,"Agree","statements",7,"Once or twice a year","A few times a year",20,"Female","GCSEs,A levels",5,"For","It will help to protect the most vulnerable groups in our society.","Pro",6,641,302,"For","PRO",0,0,0,1,0
58,1659975429897,"08/08/2022 16:17:09","task-b5vt",94826,6895701,2,56,"Agree","statements",2,"Rarely","Most weeks",26,"Female","Undergraduate degree (BSc, BA)",5,"For","It's one of the only ways we will return to normal life","Pro",6,611,302,"For","PRO",0,0,0,1,0
59,1659975432380,"08/08/2022 16:17:12","task-b5vt",94826,6895701,2,57,"Agree","statements",7,"Once or twice a year","A few times a year",20,"Female","GCSEs,A levels",6,"For","The risk of dying from covid reduces with a vaccine.","Pro",6,642,302,"For","PRO",0,0,0,1,0
60,1659975436178,"08/08/2022 16:17:16","task-b5vt",94826,6895701,2,58,"Disagree","statements",8,"Most months","Most months",20,"Male","A levels",5,"For","To protect others by giving herd immunity.","Pro",2,647,302,"For","PRO",0,0,0,1,0
61,1659975440224,"08/08/2022 16:17:20","task-b5vt",94826,6895701,2,59,"Agree","statements",1,"Rarely","A few times a year",26,"Female","Undergraduate degree (BSc, BA)",6,"For","I want to reduce the risk of myself catching the virus at work","Pro",6,606,302,"For","PRO",0,0,0,1,0
62,1659975442162,"08/08/2022 16:17:22","task-b5vt",94826,6895701,2,60,"Strongly Agree","statements",2,"Rarely","Most weeks",26,"Female","Undergraduate degree (BSc, BA)",6,"For","Vaccines are important, they help us all live safely and healthily","Pro",7,612,302,"For","PRO",0,0,0,1,0
3,1659975434492,"08/08/2022 16:17:14","task-b5vt",94826,6895716,2,1,"Agree","statements",1,"Rarely","A few times a year",26,"Female","Undergraduate degree (BSc, BA)",6,"For","I want to reduce the risk of myself catching the virus at work","Pro",6,606,303,"For","PRO",0,0,0,1,0
4,1659975464701,"08/08/2022 16:17:44","task-b5vt",94826,6895716,2,2,"Neither Agree nor Disagree","statements",4,"Most months","Most months",20,"Female","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",5,"For","Many people have got it and have survived ","Pro",4,623,303,"For","PRO",0,0,0,1,0
5,1659975481079,"08/08/2022 16:18:01","task-b5vt",94826,6895716,2,3,"Agree","statements",2,"Rarely","Most weeks",26,"Female","Undergraduate degree (BSc, BA)",6,"For","Vaccines are important, they help us all live safely and healthily","Pro",6,612,303,"For","PRO",0,0,0,1,0
6,1659975489434,"08/08/2022 16:18:09","task-b5vt",94826,6895716,2,4,"Agree","statements",1,"Rarely","A few times a year",26,"Female","Undergraduate degree (BSc, BA)",4,"For","It's the right thing to do to protect everyone else","Pro",6,604,303,"For","PRO",0,0,0,1,0
7,1659975503087,"08/08/2022 16:18:23","task-b5vt",94826,6895716,2,5,"Agree","statements",5,"Rarely","A few times a year",31,"Female","Undergraduate degree (BSc, BA)",4,"For","They wish for life to return to normal and the best way to achieve this is maximum uptake ","Pro",6,628,303,"For","PRO",0,0,0,1,0
8,1659975508343,"08/08/2022 16:18:28","task-b5vt",94826,6895716,2,6,"Neither Agree nor Disagree","statements",8,"Most months","Most months",20,"Male","A levels",5,"For","To protect others by giving herd immunity.","Pro",4,647,303,"For","PRO",0,0,0,1,0
10,1659975550469,"08/08/2022 16:19:10","task-b5vt",94826,6895716,2,8,"Agree","statements",5,"Rarely","A few times a year",31,"Female","Undergraduate degree (BSc, BA)",6,"For","More vaccinations will hopefully mean less admissions and deaths and less pressure on the nhs","Pro",6,630,303,"For","PRO",0,0,0,1,0
11,1659975555945,"08/08/2022 16:19:15","task-b5vt",94826,6895716,2,9,"Agree","statements",8,"Most months","Most months",20,"Male","A levels",4,"For","To gain immunity against COVID 19.","Pro",6,646,303,"For","PRO",0,0,0,1,0
12,1659975557666,"08/08/2022 16:19:17","task-b5vt",94826,6895716,2,10,"Agree","statements",10,"Most months","Most weeks",35,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",4,"For","Reduced risk of getting COVID.","Pro",6,658,303,"For","PRO",0,0,0,1,0
14,1659975564999,"08/08/2022 16:19:24","task-b5vt",94826,6895716,2,12,"Agree","statements",9,"Rarely","Most days",38,"Male","GCSEs,Vocational Training / Apprenticeship",6,"For","Being vaccinated is reassuring ","Pro",6,654,303,"For","PRO",0,0,0,1,0
15,1659975567566,"08/08/2022 16:19:27","task-b5vt",94826,6895716,2,13,"Agree","statements",10,"Most months","Most weeks",35,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",5,"For","Reduced risk of passing on COVID.","Pro",6,659,303,"For","PRO",0,0,0,1,0
17,1659975594199,"08/08/2022 16:19:54","task-b5vt",94826,6895716,2,15,"Agree","statements",5,"Rarely","A few times a year",31,"Female","Undergraduate degree (BSc, BA)",5,"For","I am aware of the risks and complications of contracting xovid 19 and wish to protect myself and others","Pro",6,629,303,"For","PRO",0,0,0,1,0
22,1659975653557,"08/08/2022 16:20:53","task-b5vt",94826,6895716,2,20,"Somewhat Agree","statements",6,"Rarely","Most days",34,"Male","GCSEs",6,"For","Alot of people have died from getting Covid and I want to keep my self safe and I trust it ","Pro",5,636,303,"For","PRO",0,0,0,1,0
24,1659975662340,"08/08/2022 16:21:02","task-b5vt",94826,6895716,2,22,"Agree","statements",4,"Most months","Most months",20,"Female","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",6,"For","Doctors are trying to help ","Pro",6,624,303,"For","PRO",0,0,0,1,0
29,1659975857301,"08/08/2022 16:24:17","task-b5vt",94826,6895716,2,27,"Agree","statements",2,"Rarely","Most weeks",26,"Female","Undergraduate degree (BSc, BA)",4,"For","It's important to protect the people you love who are a higher risk than you","Pro",6,610,303,"For","PRO",0,0,0,1,0
31,1659975920968,"08/08/2022 16:25:20","task-b5vt",94826,6895716,2,29,"Somewhat Agree","statements",7,"Once or twice a year","A few times a year",20,"Female","GCSEs,A levels",4,"For","It is the only way we can effectively eliminate the virus from the world.","Pro",5,640,303,"For","PRO",0,0,0,1,0
32,1659975925288,"08/08/2022 16:25:25","task-b5vt",94826,6895716,2,30,"Agree","statements",3,"Rarely","A few times a year",55,"Female","A levels",4,"For","I want to have it for my own and my familyâs protection ","Pro",6,616,303,"For","PRO",0,0,0,1,0
35,1659976042693,"08/08/2022 16:27:22","task-b5vt",94826,6895716,2,33,"Agree","statements",9,"Rarely","Most days",38,"Male","GCSEs,Vocational Training / Apprenticeship",5,"For","The vaccines are safe enough to use","Pro",6,653,303,"For","PRO",0,0,0,1,0
36,1659976048231,"08/08/2022 16:27:28","task-b5vt",94826,6895716,2,34,"Agree","statements",1,"Rarely","A few times a year",26,"Female","Undergraduate degree (BSc, BA)",5,"For","I want to protect my family and be able to see them again","Pro",6,605,303,"For","PRO",0,0,0,1,0
38,1659976056173,"08/08/2022 16:27:36","task-b5vt",94826,6895716,2,36,"Agree","statements",7,"Once or twice a year","A few times a year",20,"Female","GCSEs,A levels",5,"For","It will help to protect the most vulnerable groups in our society.","Pro",6,641,303,"For","PRO",0,0,0,1,0
40,1659976079802,"08/08/2022 16:27:59","task-b5vt",94826,6895716,2,38,"Somewhat Agree","statements",6,"Rarely","Most days",34,"Male","GCSEs",4,"For"," I am scared and if this vaccine will help then I'll do it ","Pro",5,634,303,"For","PRO",0,0,0,1,0
41,1659976091439,"08/08/2022 16:28:11","task-b5vt",94826,6895716,2,39,"Somewhat Agree","statements",4,"Most months","Most months",20,"Female","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",4,"For","It's been tried and tested and has been approved by many doctors around the world","Pro",5,622,303,"For","PRO",0,0,0,1,0
42,1659976096557,"08/08/2022 16:28:16","task-b5vt",94826,6895716,2,40,"Agree","statements",7,"Once or twice a year","A few times a year",20,"Female","GCSEs,A levels",6,"For","The risk of dying from covid reduces with a vaccine.","Pro",6,642,303,"For","PRO",0,0,0,1,0
44,1659976132223,"08/08/2022 16:28:52","task-b5vt",94826,6895716,2,42,"Neither Agree nor Disagree","statements",3,"Rarely","A few times a year",55,"Female","A levels",6,"For","I want to help in defeating this virus","Pro",4,618,303,"For","PRO",0,0,0,1,0
49,1659976236813,"08/08/2022 16:30:36","task-b5vt",94826,6895716,2,47,"Agree","statements",2,"Rarely","Most weeks",26,"Female","Undergraduate degree (BSc, BA)",5,"For","It's one of the only ways we will return to normal life","Pro",6,611,303,"For","PRO",0,0,0,1,0
51,1659976328237,"08/08/2022 16:32:08","task-b5vt",94826,6895716,2,49,"Agree","statements",8,"Most months","Most months",20,"Male","A levels",6,"For","To help end the negative social impact of the virus such as lockdowns and online education","Pro",6,648,303,"For","PRO",0,0,0,1,0
55,1659976407371,"08/08/2022 16:33:27","task-b5vt",94826,6895716,2,53,"Neither Agree nor Disagree","statements",3,"Rarely","A few times a year",55,"Female","A levels",5,"For","I want to help society","Pro",4,617,303,"For","PRO",0,0,0,1,0
56,1659976412027,"08/08/2022 16:33:32","task-b5vt",94826,6895716,2,54,"Disagree","statements",6,"Rarely","Most days",34,"Male","GCSEs",5,"For","A member of my family can catch anything really easily , so I want to do this to help keep them safe ","Pro",2,635,303,"For","PRO",0,0,0,1,0
60,1659976429105,"08/08/2022 16:33:49","task-b5vt",94826,6895716,2,58,"Somewhat Agree","statements",9,"Rarely","Most days",38,"Male","GCSEs,Vocational Training / Apprenticeship",4,"For","It's essential to be vaccinated to regain normality.","Pro",5,652,303,"For","PRO",0,0,0,1,0
61,1659976431969,"08/08/2022 16:33:51","task-b5vt",94826,6895716,2,59,"Somewhat Agree","statements",10,"Most months","Most weeks",35,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",6,"For","Less restrictions on behaviour due to immunity.","Pro",5,660,303,"For","PRO",0,0,0,1,0
3,1659975731647,"08/08/2022 16:22:11","task-b5vt",94826,6895750,2,1,"Strongly Agree","statements",1,"Rarely","A few times a year",26,"Female","Undergraduate degree (BSc, BA)",4,"For","It's the right thing to do to protect everyone else","Pro",7,604,304,"For","PRO",0,0,0,1,0
4,1659975733376,"08/08/2022 16:22:13","task-b5vt",94826,6895750,2,2,"Strongly Agree","statements",8,"Most months","Most months",20,"Male","A levels",4,"For","To gain immunity against COVID 19.","Pro",7,646,304,"For","PRO",0,0,0,1,0
6,1659975740122,"08/08/2022 16:22:20","task-b5vt",94826,6895750,2,4,"Agree","statements",9,"Rarely","Most days",38,"Male","GCSEs,Vocational Training / Apprenticeship",5,"For","The vaccines are safe enough to use","Pro",6,653,304,"For","PRO",0,0,0,1,0
7,1659975742186,"08/08/2022 16:22:22","task-b5vt",94826,6895750,2,5,"Strongly Agree","statements",10,"Most months","Most weeks",35,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",4,"For","Reduced risk of getting COVID.","Pro",7,658,304,"For","PRO",0,0,0,1,0
10,1659975751930,"08/08/2022 16:22:31","task-b5vt",94826,6895750,2,8,"Strongly Agree","statements",2,"Rarely","Most weeks",26,"Female","Undergraduate degree (BSc, BA)",5,"For","It's one of the only ways we will return to normal life","Pro",7,611,304,"For","PRO",0,0,0,1,0
11,1659975753564,"08/08/2022 16:22:33","task-b5vt",94826,6895750,2,9,"Strongly Agree","statements",1,"Rarely","A few times a year",26,"Female","Undergraduate degree (BSc, BA)",6,"For","I want to reduce the risk of myself catching the virus at work","Pro",7,606,304,"For","PRO",0,0,0,1,0
12,1659975755323,"08/08/2022 16:22:35","task-b5vt",94826,6895750,2,10,"Strongly Agree","statements",7,"Once or twice a year","A few times a year",20,"Female","GCSEs,A levels",6,"For","The risk of dying from covid reduces with a vaccine.","Pro",7,642,304,"For","PRO",0,0,0,1,0
14,1659975760098,"08/08/2022 16:22:40","task-b5vt",94826,6895750,2,12,"Strongly Agree","statements",3,"Rarely","A few times a year",55,"Female","A levels",6,"For","I want to help in defeating this virus","Pro",7,618,304,"For","PRO",0,0,0,1,0
15,1659975763040,"08/08/2022 16:22:43","task-b5vt",94826,6895750,2,13,"Strongly Agree","statements",5,"Rarely","A few times a year",31,"Female","Undergraduate degree (BSc, BA)",4,"For","They wish for life to return to normal and the best way to achieve this is maximum uptake ","Pro",7,628,304,"For","PRO",0,0,0,1,0
