"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","stanely_L","stanley_R","intellectual_R_1","intellectual_R_2","intellectual_R_3","intellectual_L_1","intellectual_L_2","intellectual_L_3","morality_R_1","morality_R_2","morality_R_3","morality_L_1","morality_L_2","morality_L_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers","passedITT","passed_relative_ITT"
17,1651854001261,"06/05/2022 16:20:01",6421483,3,15,"Neither Agree nor Disagree","statements",2,"Rarely","Once or twice a year",32,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","Immigration- blaming EU for higher levels ",NA,"Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Pro",4,607,301,"For","ANTI",0,1,1,0,0,0,0
18,1651854004384,"06/05/2022 16:20:04",6421483,3,16,"Agree","statements",9,"A few times a year","Rarely",38,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","It is expensive to belong to the EU. ",NA,"Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",6,651,301,"For","ANTI",0,1,1,0,0,1,1
20,1651854014319,"06/05/2022 16:20:14",6421483,3,18,"Agree","statements",5,"Rarely","Most months",43,"Female","Undergraduate degree (BSc, BA)",1,"Leave","The NHS would get more funding ",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",6,625,301,"For","ANTI",0,1,1,0,0,1,1
21,1651854018223,"06/05/2022 16:20:18",6421483,3,19,"Agree","statements",6,"Rarely","Once or twice a year",24,"Female","Undergraduate degree (BSc, BA)",2,"Leave","I think the extra money will be good",NA,"Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Agree","Agree","Agree","Pro",6,632,301,"For","ANTI",0,1,1,0,0,1,1
25,1651854045118,"06/05/2022 16:20:45",6421483,3,23,"Somewhat Agree","statements",1,"Rarely","A few times a year",47,"Female","Undergraduate degree (BSc, BA)",2,"Leave","I want more money for the NHS to be spent on British people and not foreigners",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",5,602,301,"For","ANTI",0,1,1,0,0,0,1
26,1651854048320,"06/05/2022 16:20:48",6421483,3,24,"Agree","statements",3,"Rarely","Rarely",29,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Easier to control immigration ",NA,"Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",6,614,301,"For","ANTI",0,1,1,0,0,1,1
27,1651854051717,"06/05/2022 16:20:51",6421483,3,25,"Strongly Agree","statements",9,"A few times a year","Rarely",38,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","Britain is too restricted by European Laws",NA,"Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",7,649,301,"For","ANTI",0,1,1,0,0,1,1
32,1651854085902,"06/05/2022 16:21:25",6421483,3,30,"Neither Agree nor Disagree","statements",4,"Once or twice a year","A few times a year",NA,"Female","Undergraduate degree (BSc, BA)",3,"Leave","Think of all the money saved in benefits given to europeans",NA,"Strongly Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Agree","Pro",4,621,301,"For","ANTI",0,1,1,0,0,0,0
37,1651854128403,"06/05/2022 16:22:08",6421483,3,35,"Strongly Agree","statements",9,"A few times a year","Rarely",38,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Britain should be able to negotiate its own terms for import and export. ",NA,"Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",7,650,301,"For","ANTI",0,1,1,0,0,1,1
44,1651854168272,"06/05/2022 16:22:48",6421483,3,42,"Somewhat Agree","statements",4,"Once or twice a year","A few times a year",NA,"Female","Undergraduate degree (BSc, BA)",2,"Leave","We were fine back then we'll survive again",NA,"Strongly Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Agree","Pro",5,620,301,"For","ANTI",0,1,1,0,0,0,1
46,1651854182774,"06/05/2022 16:23:02",6421483,3,44,"Agree","statements",8,"A few times a year","Most months",65,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","We are suffering population overload with too many people immigrating to the UK from Europe, and as a member of the EU, we don't have sufficient control over this",NA,"Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",6,644,301,"For","ANTI",0,1,1,0,0,1,1
47,1651854185834,"06/05/2022 16:23:05",6421483,3,45,"Neither Agree nor Disagree","statements",6,"Rarely","Once or twice a year",24,"Female","Undergraduate degree (BSc, BA)",1,"Leave","I think immigrants are taking our jobs ",NA,"Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Agree","Agree","Agree","Pro",4,631,301,"For","ANTI",0,1,1,0,0,0,0
49,1651854196960,"06/05/2022 16:23:16",6421483,3,47,"Somewhat Agree","statements",7,"Once or twice a year","Rarely",23,"Female","Undergraduate degree (BSc, BA)",3,"Leave","'It can't get any worse'",NA,"Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",5,639,301,"For","ANTI",0,1,1,0,0,0,1
50,1651854201264,"06/05/2022 16:23:21",6421483,3,48,"Strongly Agree","statements",3,"Rarely","Rarely",29,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","It's important to take back powers from the EU",NA,"Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",7,613,301,"For","ANTI",0,1,1,0,0,1,1
51,1651854205186,"06/05/2022 16:23:25",6421483,3,49,"Somewhat Disagree","statements",4,"Once or twice a year","A few times a year",NA,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Way too many immigrants stealing jobs",NA,"Strongly Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Agree","Pro",3,619,301,"For","ANTI",0,1,1,0,0,0,0
58,1651854251820,"06/05/2022 16:24:11",6421483,3,56,"Strongly Agree","statements",5,"Rarely","Most months",43,"Female","Undergraduate degree (BSc, BA)",2,"Leave","It's costing us a lot to be in the EU",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,626,301,"For","ANTI",0,1,1,0,0,1,1
59,1651854258337,"06/05/2022 16:24:18",6421483,3,57,"Strongly Agree","statements",7,"Once or twice a year","Rarely",23,"Female","Undergraduate degree (BSc, BA)",1,"Leave","It costs a lot and we should be spending that money within the UK eg on the health services",NA,"Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,637,301,"For","ANTI",0,1,1,0,0,1,1
61,1651854266065,"06/05/2022 16:24:26",6421483,3,59,"Somewhat Agree","statements",7,"Once or twice a year","Rarely",23,"Female","Undergraduate degree (BSc, BA)",2,"Leave","We need better control of our own borders and managing immigration numbers",NA,"Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",5,638,301,"For","ANTI",0,1,1,0,0,0,1
62,1651854272216,"06/05/2022 16:24:32",6421483,3,60,"Strongly Agree","statements",3,"Rarely","Rarely",29,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Can make new trade deals with other countries",NA,"Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",7,615,301,"For","ANTI",0,1,1,0,0,1,1
63,1651854275497,"06/05/2022 16:24:35",6421483,3,61,"Strongly Agree","statements",5,"Rarely","Most months",43,"Female","Undergraduate degree (BSc, BA)",3,"Leave","We don't have control of our decision making",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,627,301,"For","ANTI",0,1,1,0,0,1,1
6,1651854428902,"06/05/2022 16:27:08",6421576,3,4,"Strongly Agree","statements",3,"Rarely","Rarely",29,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Can make new trade deals with other countries",NA,"Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",7,615,302,"For","ANTI",0,1,1,0,0,1,1
10,1651854452332,"06/05/2022 16:27:32",6421576,3,8,"Strongly Agree","statements",8,"A few times a year","Most months",65,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","We in the UK are paying too much towards the EU; more than our fair share",NA,"Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",7,643,302,"For","ANTI",0,1,1,0,0,1,1
11,1651854454875,"06/05/2022 16:27:34",6421576,3,9,"Strongly Agree","statements",4,"Once or twice a year","A few times a year",NA,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Way too many immigrants stealing jobs",NA,"Strongly Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Agree","Pro",7,619,302,"For","ANTI",0,1,1,0,0,1,1
12,1651854457117,"06/05/2022 16:27:37",6421576,3,10,"Strongly Agree","statements",5,"Rarely","Most months",43,"Female","Undergraduate degree (BSc, BA)",1,"Leave","The NHS would get more funding ",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,625,302,"For","ANTI",0,1,1,0,0,1,1
13,1651854461624,"06/05/2022 16:27:41",6421576,3,11,"Strongly Agree","statements",6,"Rarely","Once or twice a year",24,"Female","Undergraduate degree (BSc, BA)",2,"Leave","I think the extra money will be good",NA,"Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Agree","Agree","Agree","Pro",7,632,302,"For","ANTI",0,1,1,0,0,1,1
14,1651854461748,"06/05/2022 16:27:41",6421576,3,12,"Strongly Agree","statements",10,"Rarely","A few times a year",25,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","wanted more independence",NA,"Somewhat Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",7,655,302,"For","ANTI",0,1,1,0,0,1,1
15,1651854464199,"06/05/2022 16:27:44",6421576,3,13,"Agree","statements",7,"Once or twice a year","Rarely",23,"Female","Undergraduate degree (BSc, BA)",3,"Leave","'It can't get any worse'",NA,"Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",6,639,302,"For","ANTI",0,1,1,0,0,1,1
16,1651854472677,"06/05/2022 16:27:52",6421576,3,14,"Strongly Agree","statements",8,"A few times a year","Most months",65,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","We are suffering population overload with too many people immigrating to the UK from Europe, and as a member of the EU, we don't have sufficient control over this",NA,"Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",7,644,302,"For","ANTI",0,1,1,0,0,1,1
18,1651854481557,"06/05/2022 16:28:01",6421576,3,16,"Strongly Agree","statements",7,"Once or twice a year","Rarely",23,"Female","Undergraduate degree (BSc, BA)",1,"Leave","It costs a lot and we should be spending that money within the UK eg on the health services",NA,"Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,637,302,"For","ANTI",0,1,1,0,0,1,1
20,1651854491241,"06/05/2022 16:28:11",6421576,3,18,"Strongly Agree","statements",1,"Rarely","A few times a year",47,"Female","Undergraduate degree (BSc, BA)",1,"Leave","I don't want foreigners coming to the UK and taking our jobs",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,601,302,"For","ANTI",0,1,1,0,0,1,1
21,1651854498164,"06/05/2022 16:28:18",6421576,3,19,"Somewhat Agree","statements",10,"Rarely","A few times a year",25,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","wanted things to be like an older time",NA,"Somewhat Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",5,656,302,"For","ANTI",0,1,1,0,0,0,1
22,1651854510926,"06/05/2022 16:28:30",6421576,3,20,"Strongly Disagree","statements",6,"Rarely","Once or twice a year",24,"Female","Undergraduate degree (BSc, BA)",3,"Leave","No idea for a third reason ",NA,"Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Agree","Agree","Agree","Pro",1,633,302,"For","ANTI",0,1,1,0,0,0,0
23,1651854514160,"06/05/2022 16:28:34",6421576,3,21,"Strongly Agree","statements",5,"Rarely","Most months",43,"Female","Undergraduate degree (BSc, BA)",2,"Leave","It's costing us a lot to be in the EU",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,626,302,"For","ANTI",0,1,1,0,0,1,1
25,1651854519856,"06/05/2022 16:28:39",6421576,3,23,"Strongly Agree","statements",3,"Rarely","Rarely",29,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Easier to control immigration ",NA,"Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",7,614,302,"For","ANTI",0,1,1,0,0,1,1
27,1651854528324,"06/05/2022 16:28:48",6421576,3,25,"Strongly Agree","statements",8,"A few times a year","Most months",65,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","We want to retain our national sovereignty and are at risk of losing it if we stay in the EU",NA,"Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",7,645,302,"For","ANTI",0,1,1,0,0,1,1
29,1651854537416,"06/05/2022 16:28:57",6421576,3,27,"Strongly Agree","statements",2,"Rarely","Once or twice a year",32,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Wanting oversight on own laws noT Eu court of human rights ",NA,"Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Pro",7,608,302,"For","ANTI",0,1,1,0,0,1,1
34,1651854559912,"06/05/2022 16:29:19",6421576,3,32,"Strongly Agree","statements",3,"Rarely","Rarely",29,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","It's important to take back powers from the EU",NA,"Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Pro",7,613,302,"For","ANTI",0,1,1,0,0,1,1
35,1651854561914,"06/05/2022 16:29:21",6421576,3,33,"Strongly Agree","statements",5,"Rarely","Most months",43,"Female","Undergraduate degree (BSc, BA)",3,"Leave","We don't have control of our decision making",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,627,302,"For","ANTI",0,1,1,0,0,1,1
36,1651854565556,"06/05/2022 16:29:25",6421576,3,34,"Strongly Agree","statements",7,"Once or twice a year","Rarely",23,"Female","Undergraduate degree (BSc, BA)",2,"Leave","We need better control of our own borders and managing immigration numbers",NA,"Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,638,302,"For","ANTI",0,1,1,0,0,1,1
39,1651854582453,"06/05/2022 16:29:42",6421576,3,37,"Agree","statements",2,"Rarely","Once or twice a year",32,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Cost of items. Believe it will be lower. ",NA,"Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Pro",6,609,302,"For","ANTI",0,1,1,0,0,1,1
42,1651854593302,"06/05/2022 16:29:53",6421576,3,40,"Strongly Agree","statements",9,"A few times a year","Rarely",38,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Britain should be able to negotiate its own terms for import and export. ",NA,"Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",7,650,302,"For","ANTI",0,1,1,0,0,1,1
43,1651854597029,"06/05/2022 16:29:57",6421576,3,41,"Strongly Agree","statements",1,"Rarely","A few times a year",47,"Female","Undergraduate degree (BSc, BA)",2,"Leave","I want more money for the NHS to be spent on British people and not foreigners",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,602,302,"For","ANTI",0,1,1,0,0,1,1
45,1651854603989,"06/05/2022 16:30:03",6421576,3,43,"Agree","statements",2,"Rarely","Once or twice a year",32,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","Immigration- blaming EU for higher levels ",NA,"Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Pro",6,607,302,"For","ANTI",0,1,1,0,0,1,1
46,1651854605866,"06/05/2022 16:30:05",6421576,3,44,"Strongly Agree","statements",9,"A few times a year","Rarely",38,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","Britain is too restricted by European Laws",NA,"Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",7,649,302,"For","ANTI",0,1,1,0,0,1,1
47,1651854609264,"06/05/2022 16:30:09",6421576,3,45,"Strongly Agree","statements",4,"Once or twice a year","A few times a year",NA,"Female","Undergraduate degree (BSc, BA)",3,"Leave","Think of all the money saved in benefits given to europeans",NA,"Strongly Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Agree","Pro",7,621,302,"For","ANTI",0,1,1,0,0,1,1
53,1651854644738,"06/05/2022 16:30:44",6421576,3,51,"Strongly Agree","statements",6,"Rarely","Once or twice a year",24,"Female","Undergraduate degree (BSc, BA)",1,"Leave","I think immigrants are taking our jobs ",NA,"Disagree",NA,NA,NA,"Agree","Agree","Strongly Agree",NA,NA,NA,"Agree","Agree","Agree","Pro",7,631,302,"For","ANTI",0,1,1,0,0,1,1
59,1651854672157,"06/05/2022 16:31:12",6421576,3,57,"Strongly Agree","statements",10,"Rarely","A few times a year",25,"Non-binary","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","don't want immigrants",NA,"Somewhat Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Agree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",7,657,302,"For","ANTI",0,1,1,0,0,1,1
60,1651854674138,"06/05/2022 16:31:14",6421576,3,58,"Strongly Agree","statements",9,"A few times a year","Rarely",38,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","It is expensive to belong to the EU. ",NA,"Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",7,651,302,"For","ANTI",0,1,1,0,0,1,1
62,1651854678507,"06/05/2022 16:31:18",6421576,3,60,"Strongly Agree","statements",1,"Rarely","A few times a year",47,"Female","Undergraduate degree (BSc, BA)",3,"Leave","I want stricter boarder controls ",NA,"Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",7,603,302,"For","ANTI",0,1,1,0,0,1,1
