"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","stanely_L","stanley_R","intellectual_R_1","intellectual_R_2","intellectual_R_3","intellectual_L_1","intellectual_L_2","intellectual_L_3","morality_R_1","morality_R_2","morality_R_3","morality_L_1","morality_L_2","morality_L_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers"
13,1.65166e+12,"04/05/2022 11:38",6404938,4,11,"Agree","statements",8,"Rarely","Never",31,"Female","Vocational Training / Apprenticeship",1,"Leave","To gain control of our borders","Agree",NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Pro",6,43,102,"For","PRO",0,0,0,1,0
16,1.65166e+12,"04/05/2022 11:38",6404938,4,14,"Somewhat Agree","statements",2,"A few times a year","A few times a year",55,"Female","Undergraduate degree (BSc, BA)",3,"Leave","Stop paying for eu profligate expenses.","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,9,102,"For","PRO",0,0,0,1,0
17,1.65166e+12,"04/05/2022 11:38",6404938,4,15,"Agree","statements",3,"Once or twice a year","A few times a year",33,"Female","Vocational Training / Apprenticeship",3,"Leave","To be an independent country","Somewhat Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,15,102,"For","PRO",0,0,0,1,0
18,1.65166e+12,"04/05/2022 11:38",6404938,4,16,"Agree","statements",5,"Rarely","Once or twice a year",54,"Female","A levels",3,"Leave","More freedom for fishermen","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,27,102,"For","PRO",0,0,0,1,0
19,1.65166e+12,"04/05/2022 11:38",6404938,4,17,"Strongly Agree","statements",4,"Rarely","A few times a year",38,"Female","Vocational Training / Apprenticeship",2,"Leave","get Britain great again","Somewhat Agree",NA,"Somewhat Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,20,102,"For","PRO",0,0,0,1,0
20,1.65166e+12,"04/05/2022 11:38",6404938,4,18,"Agree","statements",3,"Once or twice a year","A few times a year",33,"Female","Vocational Training / Apprenticeship",1,"Leave","Save money from being in the eu ","Somewhat Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,13,102,"For","PRO",0,0,0,1,0
21,1.65166e+12,"04/05/2022 11:38",6404938,4,19,"Agree","statements",7,"Rarely","Once or twice a year",55,"Female","GCSEs",1,"Leave","To have Freedom back ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,37,102,"For","PRO",0,0,0,1,0
26,1.65166e+12,"04/05/2022 11:39",6404938,4,24,"Neither Agree nor Disagree","statements",9,"Rarely","Rarely",47,"Male","Undergraduate degree (BSc, BA)",2,"Leave","The UK wouldn't be paying into the EU each week,.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,50,102,"For","PRO",0,0,0,1,0
30,1.65166e+12,"04/05/2022 11:39",6404938,4,28,"Agree","statements",9,"Rarely","Rarely",47,"Male","Undergraduate degree (BSc, BA)",1,"Leave","Being able to make our own independent UK laws and regulations.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,49,102,"For","PRO",0,0,0,1,0
33,1.65166e+12,"04/05/2022 11:39",6404938,4,31,"Strongly Agree","statements",3,"Once or twice a year","A few times a year",33,"Female","Vocational Training / Apprenticeship",2,"Leave","To Reduce Immigration ","Somewhat Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,14,102,"For","PRO",0,0,0,1,0
34,1.65166e+12,"04/05/2022 11:39",6404938,4,32,"Agree","statements",5,"Rarely","Once or twice a year",54,"Female","A levels",1,"Leave","Independence from Europe ","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,25,102,"For","PRO",0,0,0,1,0
35,1.65166e+12,"04/05/2022 11:39",6404938,4,33,"Agree","statements",8,"Rarely","Never",31,"Female","Vocational Training / Apprenticeship",2,"Leave","For the UK to be able to trade freely with who wish ","Agree",NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Pro",6,44,102,"For","PRO",0,0,0,1,0
39,1.65166e+12,"04/05/2022 11:39",6404938,4,37,"Somewhat Agree","statements",6,"Most months","Most months",42,"Male","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Freedom to do what is best for our economy - the one-size-fits-all model put on a heterogenous EU is failing. We can make decisions which best fit the needs of our coountry.","Agree",NA,"Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,32,102,"For","PRO",0,0,0,1,0
41,1.65166e+12,"04/05/2022 11:39",6404938,4,39,"Agree","statements",4,"Rarely","A few times a year",38,"Female","Vocational Training / Apprenticeship",3,"Leave","make our own laws and decide what we agree or disagree with","Somewhat Agree",NA,"Somewhat Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,21,102,"For","PRO",0,0,0,1,0
42,1.65166e+12,"04/05/2022 11:40",6404938,4,40,"Agree","statements",8,"Rarely","Never",31,"Female","Vocational Training / Apprenticeship",3,"Leave","UK to have their own laws","Agree",NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Pro",6,45,102,"For","PRO",0,0,0,1,0
45,1.65166e+12,"04/05/2022 11:40",6404938,4,43,"Neither Agree nor Disagree","statements",2,"A few times a year","A few times a year",55,"Female","Undergraduate degree (BSc, BA)",1,"Leave","To have an elected government in charge of us.","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",4,7,102,"For","PRO",0,0,0,1,0
46,1.65166e+12,"04/05/2022 11:40",6404938,4,44,"Agree","statements",7,"Rarely","Once or twice a year",55,"Female","GCSEs",2,"Leave","To make Britain British again ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,38,102,"For","PRO",0,0,0,1,0
47,1.65166e+12,"04/05/2022 11:40",6404938,4,45,"Somewhat Disagree","statements",5,"Rarely","Once or twice a year",54,"Female","A levels",2,"Leave","The return of duty free tobacco and spirits","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",3,26,102,"For","PRO",0,0,0,1,0
49,1.65166e+12,"04/05/2022 11:40",6404938,4,47,"Agree","statements",7,"Rarely","Once or twice a year",55,"Female","GCSEs",3,"Leave","To stop the eu dictating ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,39,102,"For","PRO",0,0,0,1,0
53,1.65166e+12,"04/05/2022 11:40",6404938,4,51,"Somewhat Agree","statements",10,"Most weeks","Most months",50,"Male","GCSEs",1,"Leave","Immigration - free movement damages the chances of workers in this country and drives down pay","Agree",NA,"Strongly Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,55,102,"For","PRO",0,0,0,1,0
54,1.65166e+12,"04/05/2022 11:41",6404938,4,52,"Strongly Agree","statements",6,"Most months","Most months",42,"Male","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Regain control of borders - no need to give priority immigration access to all EU citizens at the expense of non-EU citizens. We can make our own choices on how to deal with illegal migration.","Agree",NA,"Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,33,102,"For","PRO",0,0,0,1,0
55,1.65166e+12,"04/05/2022 11:41",6404938,4,53,"Neither Agree nor Disagree","statements",1,"Never","A few times a year",42,"Female","Undergraduate degree (BSc, BA)",2,"Leave","Leaving is a new option where we can look at global opportunities and collaborating with a wider market.","Neither Agree nor Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,2,102,"For","PRO",0,0,0,1,0
56,1.65166e+12,"04/05/2022 11:41",6404938,4,54,"Agree","statements",2,"A few times a year","A few times a year",55,"Female","Undergraduate degree (BSc, BA)",2,"Leave","The interests of Britain can be foremost and not have to make decisions for an enormous area and population.","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,8,102,"For","PRO",0,0,0,1,0
58,1.65166e+12,"04/05/2022 11:41",6404938,4,56,"Strongly Agree","statements",4,"Rarely","A few times a year",38,"Female","Vocational Training / Apprenticeship",1,"Leave","less immigration coming to the uk","Somewhat Agree",NA,"Somewhat Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,19,102,"For","PRO",0,0,0,1,0
61,1.65166e+12,"04/05/2022 11:41",6404938,4,59,"Neither Agree nor Disagree","statements",1,"Never","A few times a year",42,"Female","Undergraduate degree (BSc, BA)",1,"Leave","There was no politician that argued a strong case for staying.","Neither Agree nor Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,1,102,"For","PRO",0,0,0,1,0
62,1.65166e+12,"04/05/2022 11:41",6404938,4,60,"Strongly Agree","statements",9,"Rarely","Rarely",47,"Male","Undergraduate degree (BSc, BA)",3,"Leave","The UK can create its own immigration system.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,51,102,"For","PRO",0,0,0,1,0
64,1.65166e+12,"04/05/2022 11:41",6404938,4,62,"Neither Agree nor Disagree","statements",10,"Most weeks","Most months",50,"Male","GCSEs",2,"Leave","Laws being made in a parliament where we really don't have a say ","Agree",NA,"Strongly Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,56,102,"For","PRO",0,0,0,1,0
3,1.65166e+12,"04/05/2022 11:39",6404971,4,1,"Somewhat Agree","statements",6,"Most months","Most months",42,"Male","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Regain control of borders - no need to give priority immigration access to all EU citizens at the expense of non-EU citizens. We can make our own choices on how to deal with illegal migration.","Agree",NA,"Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,33,103,"For","PRO",0,0,0,1,0
5,1.65166e+12,"04/05/2022 11:39",6404971,4,3,"Strongly Agree","statements",4,"Rarely","A few times a year",38,"Female","Vocational Training / Apprenticeship",2,"Leave","get Britain great again","Somewhat Agree",NA,"Somewhat Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,20,103,"For","PRO",0,0,0,1,0
6,1.65166e+12,"04/05/2022 11:39",6404971,4,4,"Strongly Agree","statements",8,"Rarely","Never",31,"Female","Vocational Training / Apprenticeship",1,"Leave","To gain control of our borders","Agree",NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Somewhat Agree",NA,NA,NA,"Pro",7,43,103,"For","PRO",0,0,0,1,0
